AGE_ka,GR_gAPI
442.3643885,21.16943891
445.4754261,20.51664251
448.5864637,20.28904484
451.6975012,20.60592492
454.8085388,21.43062771
457.9195764,22.23626816
461.0306139,22.28625363
464.1416515,22.07831161
467.2526891,22.57491909
470.3637266,23.80860777
473.4747642,24.84993168
476.5858018,24.19214237
479.6968393,24.23781232
482.8078769,24.12346327
485.9189144,23.51147448
487.4744332,22.39490496
489.029952,21.95532029
490.5854708,22.17299378
492.1409896,22.49104923
493.6965084,22.57716328
495.2520271,22.65349704
496.8075459,22.62867013
498.3630647,22.85305845
499.9185835,23.84197302
501.4741023,25.95868541
503.029621,25.6779744
504.5851398,23.70137727
506.1406586,22.68193389
507.6961774,22.63342227
509.2516962,23.12093884
512.3627337,22.83118993
515.4737713,22.87545758
518.5848089,22.90438615
521.6958464,22.54619473
524.806884,22.55781447
527.9179216,21.77455619
531.0289591,21.41773312
534.1399967,21.76896424
537.2510343,21.60960774
540.3620718,21.12621763
543.4731094,21.85833308
546.5841469,22.42614223
549.6951845,22.39018024
552.8062221,22.53111365
555.9172596,22.41294262
559.0282972,21.65287394
562.1393348,21.50008265
565.2503723,21.02188729
568.3614099,20.89479955
571.4724475,20.08667127
574.583485,19.85376106
577.6945226,20.25523722
580.8055602,20.76132939
583.9165977,20.16197328
587.0276353,20.12028303
590.1386728,20.7102576
593.2497104,20.35856427
596.360748,19.9884797
599.4717855,20.16221953
602.5828231,20.01620444
605.6938607,20.62132903
608.8048982,20.94355193
611.9159358,21.19022214
615.0269734,21.19763838
618.1380109,20.82662261
621.2490485,20.87186586
624.360086,21.09681327
627.4711236,20.57952649
630.5821612,20.76456277
633.6931987,20.59685229
636.8042363,20.26528962
639.9152739,20.042958
643.0263114,19.44806443
646.137349,19.09115258
649.2483866,20.17298587
652.3594241,21.10997606
655.4704617,20.61429247
658.5814993,19.78921469
661.6925368,20.00076507
664.8035744,20.51052358
667.9146119,21.12462914
671.0256495,21.13063525
674.1366871,20.20522746
677.2477246,19.99664619
680.3587622,20.39793772
683.4697998,21.33357888
686.5808373,22.1644194
689.6918749,22.11443158
692.8029125,21.35093053
695.91395,21.20168964
699.0249876,21.82198697
702.1360252,22.58580138
705.2470627,23.3476322
708.3581003,23.50079274
711.4691378,23.40385149
714.5801754,23.2716293
717.691213,23.54409393
720.8022505,23.94958583
723.9132881,24.08923131
727.0243257,23.31350861
730.1353632,23.17393181
733.2464008,22.8937065
736.3574384,22.57189122
739.4684759,22.78199022
742.5795135,22.78173431
745.6905511,23.25264973
748.8015886,23.27497523
751.9126262,22.75787046
755.0236637,22.29531372
758.1347013,23.76927088
761.2457389,25.27546283
764.3567764,25.41256538
767.467814,25.24489669
770.5788516,24.92874439
773.6898891,25.19481773
776.8009267,25.58142328
779.9119643,24.53929743
783.0230018,23.63499877
786.1340394,23.66024063
789.2450769,24.44867983
792.3561145,24.35266588
793.9116333,23.79318669
795.4671521,22.00985891
797.0226709,20.6511807
798.5781896,20.4855567
800.1337084,20.98455043
801.6892272,21.44639637
803.244746,21.00521668
804.8002648,21.07778878
806.3557836,21.89468468
807.9113023,21.5896382
809.4668211,21.73184569
811.0223399,21.56942477
812.5778587,21.44533067
814.1333775,22.12228339
815.6888962,21.51575599
817.244415,20.84591032
818.7999338,21.25600395
820.3554526,21.99206594
821.9109714,21.75161911
823.4664902,22.2689858
825.0220089,22.80943867
826.5775277,22.08741714
828.1330465,21.35195653
829.6885653,21.57260226
831.2440841,20.88452596
832.7996028,20.35801249
834.3551216,20.049923
835.9106404,20.64923394
837.4661592,20.76112675
839.021678,20.60365382
840.5771968,20.96118692
842.1327155,21.56850453
843.6882343,21.711732
845.2437531,21.37046058
846.7992719,20.8063606
848.3547907,20.3159214
849.9103094,20.57286545
851.4658282,20.49523516
853.021347,20.56995014
854.5768658,20.30579353
856.1323846,20.1389542
857.6879034,20.66424556
859.2434221,21.38483817
860.7989409,20.86391247
862.3544597,21.04633922
863.9099785,22.10785123
865.4654973,22.12539848
867.0210161,21.75717737
868.5765348,21.45004495
870.1320536,21.18431892
871.6875724,21.39553766
873.2430912,22.02755945
874.79861,21.78459814
876.3541287,21.64441942
877.9096475,21.4130776
879.4651663,21.31619641
881.0206851,20.81908024
882.5762039,20.71619869
884.1317227,20.44147916
885.6872414,19.85290898
887.2427602,20.345607
888.798279,20.9005957
890.3537978,20.98929944
891.9093166,21.7843707
893.4648353,21.09763872
895.0203541,20.26494518
896.5758729,20.98355916
898.1313917,21.3080563
899.6869105,21.39095395
901.2424293,20.67475809
902.797948,20.29970255
904.3534668,21.25341296
905.9089856,22.36994278
907.4645044,21.99818095
909.0200232,21.71898164
911.9167208,21.69237718
914.7148534,21.22326907
917.512986,21.45429858
920.3111186,22.15032854
923.1092512,24.14969535
925.9073838,27.18262461
928.7055163,29.37346286
931.5036489,29.59233052
934.3017815,29.62544612
937.0999141,29.05299373
939.8980467,29.00159134
941.297113,29.29321077
942.6961793,30.92780059
944.0952456,32.55461668
946.8933782,30.66088613
949.6915107,31.22245336
952.4896433,33.36790525
955.2877759,30.44645621
958.0859085,25.56270432
960.8840411,24.5532888
963.6821737,24.41149809
966.4803063,24.80525143
969.2784388,25.08933919
972.0765714,23.84179676
974.874704,22.57256443
977.6728366,22.32789112
980.4709692,21.60928837
983.2691018,21.49853777
986.0672344,22.2380854
988.8653669,22.74490875
991.6634995,22.93644964
994.4616321,22.28889423
997.2597647,22.74174614
1000.057897,21.86035688
1002.85603,22.25551096
1005.654162,22.97304749
1008.452295,21.95745847
1011.250428,21.43881117
1014.04856,22.40998161
1016.846693,23.30391842
1019.644825,23.92170467
1022.442958,23.95550341
1025.241091,23.70184523
1028.039223,23.19574835
1030.837356,23.28744548
1033.635488,23.55284248
1036.433621,24.27024427
1039.231754,23.57078613
1042.029886,22.43701433
1044.828019,22.3070131
1047.626151,21.81943072
1050.424284,21.56810734
1053.222416,21.61237186
1056.020549,22.16557074
1058.818682,22.16299334
1061.616814,21.7876845
1064.414947,21.7651877
1067.213079,22.02684341
1070.011212,21.28259666
1072.809345,21.44749314
1075.607477,20.87600251
1078.40561,21.79993671
1081.203742,23.3054834
1084.001875,22.76541988
1086.800007,22.08294807
1089.59814,21.8590499
1092.396273,21.70709163
1095.194405,21.6613564
1097.992538,22.00082833
1100.79067,21.63224034
1103.588803,21.21072622
1106.386936,22.29370695
1109.185068,22.39531651
1111.983201,21.67929926
1114.781333,20.90405392
1117.579466,20.97942409
1120.377599,21.62644731
1123.175731,22.67884884
1125.973864,23.30665799
1128.771996,22.79684882
1131.570129,22.17901164
1134.368261,21.80316669
1137.166394,21.91648373
1139.964527,22.42627723
1142.762659,22.88128377
1145.560792,22.8384555
1148.358924,22.53887694
1151.157057,21.87239705
1153.95519,22.08298698
1156.753322,21.69631849
1159.551455,22.56820269
1162.349587,22.5685359
1165.14772,21.97421369
1167.945852,21.58305812
1170.743985,21.46883807
1173.542118,21.58532007
1176.34025,21.49154065
1179.138383,21.23130081
1181.936515,21.89892839
1184.734648,22.06366871
1187.532781,22.06945338
1190.330913,22.5478626
1193.129046,22.58616331
1195.927178,22.88000552
1198.725311,22.81572394
1201.523444,23.06371157
1204.321576,23.04389741
1207.119709,24.35603531
1209.917841,24.03639215
1212.715974,23.58685248
1215.514106,23.98822001
1218.312239,23.5747708
1221.110372,23.00793151
1223.908504,22.57192804
1226.706637,22.73640044
1229.504769,22.92077474
1232.302902,23.10246378
1235.101035,23.30240201
1237.899167,24.4072361
1240.6973,23.91523557
1243.495432,22.44081672
1246.293565,22.78611328
1249.091697,22.82688277
1251.88983,21.86634889
1254.687963,21.52072069
1257.486095,21.87949444
1260.284228,22.04638208
1263.08236,22.39060459
1265.880493,23.00509976
1268.678626,23.12859611
1271.476758,24.29112622
1274.274891,24.69156254
1277.073023,23.69517113
1279.871156,22.78725758
1282.669289,22.31952879
1285.467421,21.81276132
1288.265554,22.16564386
1291.063686,22.22365245
1293.861819,21.83501423
1296.659951,21.86913991
1299.458084,22.23626999
1302.256217,22.40916086
1305.054349,21.84336977
1307.852482,21.21073928
1310.650614,21.76236013
1313.448747,21.65776579
1316.24688,22.09955549
1319.045012,22.42451979
1321.843145,21.65959608
1324.641277,21.59150976
1327.43941,21.92858735
1330.237542,21.88044341
1333.035675,22.02027403
1335.833808,22.56234882
1338.63194,22.87629844
1341.430073,22.83860095
1344.228205,22.70075025
1347.026338,23.15380011
1349.824471,23.62975622
1352.622603,23.57836611
1355.420736,22.82513865
1358.218868,22.53196103
1361.017001,21.73497957
1363.815134,21.91186999
1366.613266,22.19321557
1369.411399,22.64567421
1372.209531,21.87721421
1375.007664,21.18080378
1377.805796,21.65634129
1380.603929,22.08009177
1383.402062,21.94535929
1386.200194,21.53682751
1388.998327,21.71044121
1391.796459,22.64937633
1394.594592,22.28646489
1397.392725,21.46482834
1400.190857,21.35517816
1402.98899,21.24570425
1405.787122,21.31977788
1408.585255,21.4382278
1411.383387,21.39637852
1414.18152,21.53410596
1416.979653,21.23826973
1419.777785,21.76462809
1422.575918,22.14155126
1425.37405,21.03571702
1428.172183,20.32786808
1430.970316,21.33751967
1433.768448,21.60391264
1436.566581,21.38776053
1439.364713,20.82823094
1442.162846,20.85969591
1444.960979,22.12876843
1447.759111,23.16900262
1450.557244,22.39505068
1453.355376,21.81547034
1456.153509,21.53955429
1458.951641,21.76943297
1461.749774,21.82706553
1464.547907,21.67243062
1467.346039,21.20649792
1470.144172,21.07583105
1472.942304,21.36960484
1475.740437,22.53940417
1478.53857,23.58895906
1481.336702,23.69191295
1484.134835,23.28863626
1486.932967,22.40647848
1489.7311,23.60075271
1492.529232,28.86130582
1495.327365,26.5867884
1498.125498,22.41912021
1500.92363,23.12645591
1503.721763,23.15485696
1506.519895,23.9445874
1509.318028,27.21925433
1512.217056,26.93973202
1515.117621,25.41847585
1518.018186,26.64499449
1520.918751,28.6179231
1523.819316,28.39319081
1526.719881,27.62819449
1529.620446,26.93088766
1532.521011,26.88566325
1535.421576,25.71768425
1538.322141,24.08725092
1541.222706,24.69370682
1544.123271,24.57424488
1547.023836,24.16504908
1549.924401,23.80689633
1552.824966,24.08987953
1555.725531,23.22612887
1558.626096,24.15375039
1561.526661,24.45370787
1564.427226,23.57264068
1567.327791,24.34086273
1570.228356,23.19602913
1573.128921,21.03975669
1576.029486,21.03002388
1578.930051,22.01298976
1581.830616,23.76168635
1584.731181,23.33586562
1587.72945,23.86397953
1590.854621,23.40065669
1593.979792,22.77234777
1597.104964,22.94496614
1600.230135,21.88352257
1603.355307,21.26284646
1606.480478,21.64681654
