Time_Ma,Depth_mbrt
2.773973088,503.6
2.775143204,503.7
2.77631332,503.8
2.777483436,503.9
2.778653552,504
2.779823668,504.1
2.780993783,504.2
2.782163899,504.3
2.783334015,504.4
2.784504131,504.5
2.785674247,504.6
2.786844362,504.7
2.788014478,504.8
2.789184594,504.9
2.79035471,505
2.791524826,505.1
2.792694942,505.2
2.793865057,505.3
2.795035173,505.4
2.796205289,505.5
2.797375405,505.6
2.798545521,505.7
2.799715637,505.8
2.800885752,505.9
2.802055868,506
2.803225984,506.1
2.8043961,506.2
2.805566216,506.3
2.806736332,506.4
2.807906447,506.5
2.809076563,506.6
2.810246679,506.7
2.811416795,506.8
2.812586911,506.9
2.813757026,507
2.814927142,507.1
2.816097258,507.2
2.817267374,507.3
2.81843749,507.4
2.819607606,507.5
2.820777721,507.6
2.821947837,507.7
2.823117953,507.8
2.824288069,507.9
2.825458185,508
2.826628301,508.1
2.827798416,508.2
2.828968532,508.3
2.830138648,508.4
2.831308764,508.5
2.83247888,508.6
2.833648996,508.7
2.834819111,508.8
2.835989227,508.9
2.837159343,509
2.838329459,509.1
2.839499575,509.2
2.84066969,509.3
2.841839806,509.4
2.843009922,509.5
2.844180038,509.6
2.845350154,509.7
2.84652027,509.8
2.847690385,509.9
2.848860501,510
2.850030617,510.1
2.851200733,510.2
2.852370849,510.3
2.853540965,510.4
2.85471108,510.5
2.855881196,510.6
2.857051312,510.7
2.858221428,510.8
2.859391544,510.9
2.860561659,511
2.861731775,511.1
2.862901891,511.2
2.864072007,511.3
2.865242123,511.4
2.866412239,511.5
2.867582354,511.6
2.86875247,511.7
2.869922586,511.8
2.871092702,511.9
2.872262818,512
2.873432934,512.1
2.874603049,512.2
2.875773165,512.3
2.876943281,512.4
2.878113397,512.5
2.879283513,512.6
2.880453629,512.7
2.881623744,512.8
2.88279386,512.9
2.883963976,513
2.885134092,513.1
2.886304208,513.2
2.887474323,513.3
2.888644439,513.4
2.889814555,513.5
2.890984671,513.6
2.892154787,513.7
2.893324903,513.8
2.894495018,513.9
2.895665134,514
2.89683525,514.1
2.898005366,514.2
2.899175482,514.3
2.900345598,514.4
2.901515713,514.5
2.902685829,514.6
2.903855945,514.7
2.905026061,514.8
2.906196177,514.9
2.907366293,515
2.908536408,515.1
2.909706524,515.2
2.91087664,515.3
