Depth (m),Age (Ma)
23.78,0.29
33.29,0.44
42.74,0.6
74.11,1.26
91.17,1.6
100.27,1.93
112.16,2.39
121.44,2.49
121.44,2.8
145.21,3.54
161.98,3.7
202.35,3.92
173.99,4.12
202.3,5.04
214.37,5.12
202.3,5.28
214.37,5.35
236.05,5.59
283.94,5.98
312.4,6.91
343.02,7.42
372.23,7.79
412.92,8.29
443.25,9.69
525.32,10.71
518.11,10.74
