"Hole"	"Core"	"Section"	"Offset [cm]"	"m CSF-A"	"K [wt.%]"	"U [mg/kg]"	"Th [mg/kg]"	"GRA bulk density [g/cm^3]"
"U1482C"	1	5	41	5.99	0.89802	2.2063	2.3938	1.5168
"U1482C"	1	5	50	6.08	1.0907	2.1378	3.4762	1.5239
"U1482C"	1	5	61	6.19	1.2791	2.2338	2.4951	1.5331
"U1482C"	1	5	70	6.28	1.4217	2.2857	2.7661	1.5362
"U1482C"	1	5	81	6.39	1.1907	2.0431	3.5532	1.541
"U1482C"	1	5	90	6.48	1.0998	2.1354	4.2391	1.5403
"U1482C"	1	5	101	6.59	1.3066	2.5195	3.5349	1.5504
"U1482C"	1	5	110	6.68	1.3183	2.3464	3.1556	1.5482
"U1482C"	1	5	121	6.79	1.3081	2.3059	3.9573	1.54
"U1482C"	1	5	130	6.88	1.2414	2.3595	3.0958	1.5375
"U1482C"	1	5	141	6.99	1.149	2.2983	2.0484	1.4999
"U1482C"	1	5	150	7.08	1.2653	2.5862	2.1229	1.3927
"U1482C"	1	6	1	7.09	1.0126	1.3794	2.2381	1.5548
"U1482C"	1	6	10	7.18	1.1594	2.1662	2.3845	1.5446
"U1482C"	1	6	21	7.29	1.4453	2.2539	2.7632	1.5404
"U1482C"	1	6	30	7.38	1.4358	2.2384	4.1703	1.5429
"U1482C"	1	6	41	7.49	1.1548	2.3398	3.3619	1.5517
"U1482C"	1	6	50	7.58	1.0947	2.2214	3.4005	1.5578
"U1482C"	1	6	61	7.69	1.235	2.2528	2.4807	1.5673
"U1482C"	1	6	70	7.78	1.1628	2.7827	2.5796	1.5743
"U1482C"	1	6	81	7.89	0.99421	2.7305	2.8789	1.5794
"U1482C"	1	6	90	7.98	1.0104	2.5852	3.3931	1.5876
"U1482C"	1	6	101	8.09	1.0556	2.6165	1.4932	1.5942
"U1482C"	1	6	110	8.18	0.98942	2.6679	2.2841	1.6017
"U1482C"	1	6	121	8.29	1.0961	2.4027	2.7752	1.6028
"U1482C"	1	6	130	8.38	0.94869	2.5559	2.3814	1.5954
"U1482C"	1	6	141	8.49	0.97513	2.6389	1.9935	1.5829
"U1482C"	1	6	150	8.58	0.92092	2.3836	1.9751	1.5708
"U1482C"	1	7	1	8.59	0.85189	2.4398	2.069	1.5589
"U1482C"	1	7	10	8.68	0.74082	2.2881	2.4205	1.5541
"U1482C"	1	7	21	8.79	0.92398	2.6343	2.1458	1.5532
"U1482C"	1	7	30	8.88	1.037	2.4963	2.4439	1.5573
"U1482C"	1	7	41	8.99	1.1551	2.4284	2.781	1.5535
"U1482C"	1	7	50	9.08	1.0627	2.1723	3.0993	1.5542
"U1482C"	1	7	61	9.19	1.3068	2.4585	3.129	1.5581
"U1482C"	2	1	1	9.41	0.89126	1.9148	0.81735	1.4547
"U1482C"	2	1	10	9.5	1.0223	1.7934	1.8394	1.4881
"U1482C"	2	1	21	9.61	0.96121	2.3618	2.9995	1.5138
"U1482C"	2	1	30	9.7	1.0364	2.1581	2.5134	1.5142
"U1482C"	2	1	41	9.81	0.84776	2.1658	2.4539	1.5077
"U1482C"	2	1	50	9.9	0.87691	2.1474	2.2015	1.4981
"U1482C"	2	1	61	10.01	0.86509	2.2148	2.3286	1.5079
"U1482C"	2	1	70	10.1	0.84107	2.5232	2.0443	1.526
"U1482C"	2	1	81	10.21	0.67285	2.1132	2.542	1.5358
"U1482C"	2	1	90	10.3	0.75256	2.0337	1.7342	1.5411
"U1482C"	2	1	101	10.41	0.72453	2.5825	1.6551	1.5553
"U1482C"	2	1	110	10.5	0.75564	2.381	1.7623	1.5628
"U1482C"	2	1	121	10.61	0.80643	2.3398	2.0113	1.5635
"U1482C"	2	1	130	10.7	0.75034	2.0069	1.9795	1.5728
"U1482C"	2	1	141	10.81	0.74329	2.4258	1.568	1.5882
"U1482C"	2	1	150	10.9	0.68141	2.409	0.94006	1.5936
"U1482C"	2	2	1	10.91	0.68881	1.843	0.66643	1.5932
"U1482C"	2	2	10	11	0.6729	2.1786	1.5629	1.6
"U1482C"	2	2	21	11.11	0.79018	2.1537	1.1112	1.5929
"U1482C"	2	2	30	11.2	0.82189	2.329	1.3742	1.5804
"U1482C"	2	2	41	11.31	0.68981	1.9176	2.1433	1.5654
"U1482C"	2	2	50	11.4	0.66935	1.7024	1.8979	1.5562
"U1482C"	2	2	61	11.51	0.70606	1.8132	1.4966	1.5496
"U1482C"	2	2	70	11.6	0.67725	2.379	1.854	1.5473
"U1482C"	2	2	81	11.71	0.62387	1.7691	2.2893	1.5493
"U1482C"	2	2	90	11.8	0.72332	2.0265	1.6357	1.5465
"U1482C"	2	2	101	11.91	0.70988	2.5148	2.0848	1.5445
"U1482C"	2	2	110	12	0.68331	2.4338	1.9167	1.538
"U1482C"	2	2	121	12.11	0.71994	2.3797	1.4209	1.5373
"U1482C"	2	2	130	12.2	0.74428	2.1032	1.5643	1.5517
"U1482C"	2	2	141	12.31	0.79081	2.2361	2.4589	1.5537
"U1482C"	2	2	150	12.4	0.79582	2.0477	2.4132	1.5274
"U1482C"	2	3	1	12.41	0.7064	1.728	1.1639	1.5683
"U1482C"	2	3	10	12.5	0.8263	2.321	2.862	1.5622
"U1482C"	2	3	21	12.61	0.83408	1.9201	2.2419	1.55
"U1482C"	2	3	30	12.7	0.77616	1.6297	2.2278	1.5489
"U1482C"	2	3	41	12.81	0.65675	2.2152	2.5247	1.5474
"U1482C"	2	3	50	12.9	0.76272	2.1852	1.987	1.5557
"U1482C"	2	3	61	13.01	0.89859	2.6202	1.6095	1.5579
"U1482C"	2	3	70	13.1	0.7614	2.0014	2.8976	1.5531
"U1482C"	2	3	81	13.21	0.85159	2.2797	1.7339	1.5513
"U1482C"	2	3	90	13.3	0.76962	2.1251	2.5423	1.557
"U1482C"	2	3	101	13.41	0.882	2.2069	1.4019	1.5598
"U1482C"	2	3	110	13.5	0.85748	2.5535	2.3849	1.561
"U1482C"	2	3	121	13.61	0.94335	2.3234	1.8775	1.5653
"U1482C"	2	3	130	13.7	0.91109	2.4255	1.7153	1.5751
"U1482C"	2	3	141	13.81	1.0097	2.605	2.9916	1.5827
"U1482C"	2	3	150	13.9	0.74236	2.3035	2.879	1.5842
"U1482C"	2	4	1	13.91	0.80305	2.0218	2.0139	1.6015
"U1482C"	2	4	10	14	0.98305	1.9168	2.1219	1.5872
"U1482C"	2	4	21	14.11	0.99766	2.0181	2.0364	1.5669
"U1482C"	2	4	30	14.2	0.87394	1.9956	2.8136	1.5547
"U1482C"	2	4	41	14.31	0.80468	2.2453	2.2039	1.5537
"U1482C"	2	4	50	14.4	0.77981	1.9916	2.7873	1.5542
"U1482C"	2	4	61	14.51	0.7558	1.9968	1.9212	1.5664
"U1482C"	2	4	70	14.6	0.84539	2.3241	1.9015	1.5746
"U1482C"	2	4	81	14.71	0.81572	1.831	2.0167	1.5818
"U1482C"	2	4	90	14.8	0.74671	1.8846	2.1427	1.5806
"U1482C"	2	4	101	14.91	0.72188	2.4057	1.394	1.5687
"U1482C"	2	4	110	15	0.7875	2.4093	1.969	1.5628
"U1482C"	2	4	121	15.11	0.92629	2.3621	1.4462	1.5578
"U1482C"	2	4	130	15.2	0.80962	2.767	2.1399	1.5511
"U1482C"	2	4	141	15.31	0.7913	2.6242	1.5955	1.5609
"U1482C"	2	4	150	15.4	0.75514	1.778	1.4166	1.5723
"U1482C"	2	5	1	15.41	0.79648	2.0065	1.304	1.5949
"U1482C"	2	5	10	15.5	0.7924	2.5102	2.1261	1.584
"U1482C"	2	5	21	15.61	0.81123	2.467	0.89364	1.5832
"U1482C"	2	5	30	15.7	0.85574	2.4303	1.4097	1.5911
"U1482C"	2	5	41	15.81	0.72249	2.4168	1.8111	1.5861
"U1482C"	2	5	50	15.9	0.69557	1.8892	2.9916	1.5633
"U1482C"	2	5	61	16.01	0.87429	2.0822	2.1398	1.553
"U1482C"	2	5	70	16.1	0.82078	1.9965	1.6007	1.5569
"U1482C"	2	5	81	16.21	0.84383	1.7045	1.95	1.5626
"U1482C"	2	5	90	16.3	0.87817	1.7746	2.7044	1.5693
"U1482C"	2	5	101	16.41	1.0502	2.0403	1.9711	1.5681
"U1482C"	2	5	110	16.5	1.0275	1.9341	2.1816	1.5585
"U1482C"	2	5	121	16.61	1.1629	1.9757	3.2055	1.5588
"U1482C"	2	5	130	16.7	1.2793	2.196	3.657	1.5641
"U1482C"	2	5	141	16.81	1.0906	2.0755	3.362	1.5567
"U1482C"	2	5	150	16.9	1.0973	2.0037	2.5316	1.5135
"U1482C"	2	6	1	16.91	0.98429	2.2115	2.5191	1.5835
"U1482C"	2	6	10	17	1.0436	1.8415	2.2369	1.576
"U1482C"	2	6	21	17.11	0.85478	1.7821	2.7185	1.5658
"U1482C"	2	6	30	17.2	0.97396	2.1507	2.3828	1.5674
"U1482C"	2	6	41	17.31	0.83984	1.5499	1.9609	1.5704
"U1482C"	2	6	50	17.4	0.81255	1.6747	2.1009	1.5699
"U1482C"	2	6	61	17.51	0.95993	1.7634	2.4374	1.5694
"U1482C"	2	6	70	17.6	0.97138	2.0922	2.3115	1.5668
"U1482C"	2	6	81	17.71	0.8634	1.6918	2.2239	1.5628
"U1482C"	2	6	90	17.8	0.78915	1.7756	2.5873	1.5575
"U1482C"	2	6	101	17.91	0.90815	2.3469	3.3244	1.5515
"U1482C"	2	6	110	18	0.99112	2.2601	2.8627	1.5487
"U1482C"	2	6	121	18.11	0.99803	2.5956	2.4718	1.5497
"U1482C"	2	6	130	18.2	0.96792	2.2821	2.0059	1.5521
"U1482C"	2	6	141	18.31	1.0556	2.5183	3.0488	1.482
"U1482C"	2	7	1	18.41	0.95017	1.2801	2.5609	1.5576
"U1482C"	2	7	10	18.5	1.3473	2.2062	2.6842	1.5483
"U1482C"	2	7	21	18.61	1.3299	2.1927	3.2134	1.5457
"U1482C"	2	7	30	18.7	1.2871	2.31	3.283	1.5488
"U1482C"	2	7	41	18.81	1.2195	2.2335	3.0929	1.5529
"U1482C"	2	7	50	18.9	1.2444	2.1841	4.6016	1.5076
"U1482C"	3	1	1	18.91	0.73975	1.8721	1.2449	1.5685
"U1482C"	3	1	10	19	0.79918	1.5993	2.5523	1.5665
"U1482C"	2	7	61	19.01	1.4771	2.7599	3.5427	1.1833
"U1482C"	3	1	21	19.11	0.83723	1.7006	1.6272	1.568
"U1482C"	3	1	30	19.2	0.81936	2.0051	2.0195	1.5679
"U1482C"	3	1	41	19.31	0.78906	1.6588	1.7473	1.5651
"U1482C"	3	1	50	19.4	0.88416	1.8439	2.781	1.5578
"U1482C"	3	1	61	19.51	1.077	2.2098	2.1443	1.5498
"U1482C"	3	1	70	19.6	1.1418	2.2291	3.3965	1.5466
"U1482C"	3	1	81	19.71	1.0775	1.7411	2.1165	1.5408
"U1482C"	3	1	90	19.8	1.1264	1.8159	3.0933	1.5336
"U1482C"	3	1	101	19.91	1.2113	2.2454	2.3532	1.5331
"U1482C"	3	1	110	20	1.0436	2.2837	2.665	1.5424
"U1482C"	3	1	121	20.11	1.0458	2.151	2.425	1.5513
"U1482C"	3	1	130	20.2	0.98076	2.4161	2.3115	1.5546
"U1482C"	3	1	141	20.31	0.99453	2.0561	3.0132	1.5714
"U1482C"	3	1	150	20.4	0.72963	1.4014	1.9528	1.5887
"U1482C"	3	2	1	20.41	0.82337	1.6492	2.3715	1.5747
"U1482C"	3	2	10	20.5	0.89418	1.8967	1.8976	1.5671
"U1482C"	3	2	21	20.61	0.95091	2.151	1.7653	1.5661
"U1482C"	3	2	30	20.7	0.96161	2.0553	2.6507	1.5698
"U1482C"	3	2	41	20.81	0.88988	1.9922	2.5797	1.5678
"U1482C"	3	2	50	20.9	1.0212	2.1527	3.0856	1.5604
"U1482C"	3	2	61	21.01	1.1452	2.0013	3.2104	1.5629
"U1482C"	3	2	70	21.1	1.1284	2.0844	3.1211	1.5625
"U1482C"	3	2	81	21.21	0.75279	1.7893	2.2831	1.5536
"U1482C"	3	2	90	21.3	0.74839	1.9099	1.5505	1.5393
"U1482C"	3	2	101	21.41	0.73871	2.1539	1.6332	1.5367
"U1482C"	3	2	110	21.5	0.87068	2.6107	1.5331	1.5437
"U1482C"	3	2	121	21.61	0.9169	2.2872	2.0822	1.5432
"U1482C"	3	2	130	21.7	0.78809	2.677	1.6575	1.5472
"U1482C"	3	2	141	21.81	0.73507	2.6713	1.7101	1.5536
"U1482C"	3	2	150	21.9	0.70356	2.0664	1.8024	1.5594
"U1482C"	3	3	1	21.91	0.5864	1.9934	1.814	1.5675
"U1482C"	3	3	10	22	0.81471	1.8645	2.8218	1.5566
"U1482C"	3	3	21	22.11	0.82907	2.068	1.9681	1.5491
"U1482C"	3	3	30	22.2	0.77428	1.8785	1.8106	1.5526
"U1482C"	3	3	41	22.31	0.75525	2.4609	1.9326	1.5577
"U1482C"	3	3	50	22.4	0.86177	2.8425	2.0702	1.5599
"U1482C"	3	3	61	22.51	0.98634	2.3248	2.2046	1.5643
"U1482C"	3	3	70	22.6	0.94087	2.3354	2.2038	1.558
"U1482C"	3	3	81	22.71	0.9137	2.3193	2.7955	1.5499
"U1482C"	3	3	90	22.8	0.96707	2.1724	2.7844	1.5499
"U1482C"	3	3	101	22.91	0.88944	2.506	2.1193	1.5499
"U1482C"	3	3	110	23	0.95918	2.8311	2.9467	1.5483
"U1482C"	3	3	121	23.11	1.002	2.7674	2.2553	1.5464
"U1482C"	3	3	130	23.2	1.0794	2.5423	2.3704	1.5449
"U1482C"	3	3	141	23.31	1.057	2.0813	2.8059	1.5394
"U1482C"	3	3	150	23.4	0.98414	2.4026	2.8695	1.5386
"U1482C"	3	4	1	23.41	0.94762	1.9595	2.3178	1.5562
"U1482C"	3	4	10	23.5	1.3089	2.2611	3.616	1.5416
"U1482C"	3	4	21	23.61	1.2867	2.169	2.9784	1.5246
"U1482C"	3	4	30	23.7	1.4135	2.3158	3.1437	1.527
"U1482C"	3	4	41	23.81	1.3339	2.6576	3.9651	1.5416
"U1482C"	3	4	50	23.9	1.3153	2.4219	3.5601	1.5461
"U1482C"	3	4	61	24.01	1.3279	2.039	3.7922	1.5548
"U1482C"	3	4	70	24.1	1.296	2.3499	3.1313	1.5574
"U1482C"	3	4	81	24.21	1.2764	1.9483	4.1609	1.5563
"U1482C"	3	4	90	24.3	1.1697	2.0092	3.4039	1.5406
"U1482C"	3	4	101	24.41	1.2565	2.3132	3.6752	1.5264
"U1482C"	3	4	110	24.5	1.198	2.2124	2.8748	1.5422
"U1482C"	3	4	121	24.61	1.1609	2.0868	3.1608	1.5375
"U1482C"	3	4	130	24.7	1.121	2.3137	3.0904	1.5401
"U1482C"	3	4	141	24.81	1.0441	2.7955	3.2647	1.5522
"U1482C"	3	4	150	24.9	0.89006	2.7118	2.8381	1.5556
"U1482C"	3	5	1	24.91	0.89148	2.0089	2.0988	1.5367
"U1482C"	3	5	10	25	1.0648	2.3638	2.4212	1.5537
"U1482C"	3	5	21	25.11	0.9971	2.1153	2.6028	1.5535
"U1482C"	3	5	30	25.2	1.0481	2.1974	1.9134	1.5435
"U1482C"	3	5	41	25.31	0.89142	2.6859	1.9002	1.548
"U1482C"	3	5	50	25.4	0.84642	2.5333	1.9398	1.5581
"U1482C"	3	5	61	25.51	0.9876	2.5042	1.7254	1.5623
"U1482C"	3	5	70	25.6	0.93821	3.0132	1.6787	1.5594
"U1482C"	3	5	81	25.71	0.75989	2.4546	2.7327	1.5594
"U1482C"	3	5	90	25.8	0.74746	2.0982	1.4398	1.5584
"U1482C"	3	5	101	25.91	0.74196	2.7013	2.0744	1.5523
"U1482C"	3	5	110	26	0.68243	2.8601	2.0711	1.5481
"U1482C"	3	5	121	26.11	0.78212	2.253	2.3422	1.5477
"U1482C"	3	5	130	26.2	0.78734	2.6468	1.4788	1.5487
"U1482C"	3	5	141	26.31	0.87858	2.8386	2.679	1.5192
"U1482C"	3	5	150	26.4	0.83108	2.9335	2.1819	1.4219
"U1482C"	3	6	1	26.41	0.73844	2.1083	1.8515	1.5358
"U1482C"	3	6	10	26.5	0.96009	2.2364	1.9083	1.517
"U1482C"	3	6	21	26.61	0.97099	2.0931	2.6828	1.5601
"U1482C"	3	6	30	26.7	0.97769	2.2045	2.5952	1.576
"U1482C"	3	6	41	26.81	0.91034	1.8389	2.9139	1.5773
"U1482C"	3	6	50	26.9	0.98153	1.9663	2.7519	1.5742
"U1482C"	3	6	61	27.01	1.0659	2.0546	1.9918	1.5739
"U1482C"	3	6	70	27.1	0.97729	1.9742	1.9016	1.5745
"U1482C"	3	6	81	27.21	0.97916	1.9189	2.8325	1.5801
"U1482C"	3	6	90	27.3	1.002	1.6269	2.3688	1.5805
"U1482C"	3	6	101	27.41	1.0034	2.2276	2.7415	1.5751
"U1482C"	3	6	110	27.5	0.87332	2.3362	2.2972	1.5644
"U1482C"	3	6	121	27.61	0.91178	2.1565	1.7439	1.5673
"U1482C"	3	6	130	27.7	0.86754	2.4639	2.2792	1.5767
"U1482C"	3	6	141	27.81	0.86119	2.1771	1.9403	1.5834
"U1482C"	3	6	150	27.9	0.79285	1.5793	2.9603	1.5899
"U1482C"	3	7	1	27.91	0.91137	1.556	2.1324	1.5721
"U1482C"	3	7	10	28	1.13	2.2226	2.8895	1.5474
"U1482C"	3	7	21	28.11	0.95729	2.2534	2.8259	1.4308
"U1482C"	3	7	30	28.2	1.0824	2.2864	1.1217	1.2395
"U1482C"	3	7	41	28.31	0.92365	3.0411	2.1232	1.3205
"U1482C"	3	7	50	28.4	0.86618	2.3846	2.5551	1.4684
"U1482C"	4	1	1	28.41	0.75687	1.6898	2.2438	1.3807
"U1482C"	4	1	10	28.5	0.78839	2.1991	1.6886	1.3409
"U1482C"	3	7	61	28.51	1.0134	2.6911	2.7377	1.2792
"U1482C"	4	1	21	28.61	0.86166	2.1445	1.6605	1.4938
"U1482C"	4	1	30	28.7	0.81046	2.4062	1.8882	1.5641
"U1482C"	4	1	41	28.81	0.77476	2.319	1.6496	1.5743
"U1482C"	4	1	50	28.9	0.84681	2.8476	2.0895	1.5784
"U1482C"	4	1	61	29.01	0.93997	2.5183	2.2639	1.5788
"U1482C"	4	1	70	29.1	1.0231	2.2882	2.1719	1.5808
"U1482C"	4	1	81	29.21	0.84717	1.8218	2.0964	1.5898
"U1482C"	4	1	90	29.3	0.85981	1.6286	2.3983	1.5908
"U1482C"	4	1	101	29.41	0.9011	2.0702	2.1496	1.5882
"U1482C"	4	1	110	29.5	0.78409	2.4641	2.2186	1.5907
"U1482C"	4	1	121	29.61	0.85035	2.057	2.2207	1.6014
"U1482C"	4	1	130	29.7	0.84549	1.8508	2.5013	1.6012
"U1482C"	4	1	141	29.81	0.90267	1.6443	1.9164	1.6032
"U1482C"	4	1	150	29.9	0.97856	2.1184	1.2922	1.6107
"U1482C"	4	2	1	29.91	0.85286	1.3768	3.1053	1.6124
"U1482C"	4	2	10	30	1.0213	1.8457	2.6012	1.5977
"U1482C"	4	2	21	30.11	0.92565	2.1353	2.5025	1.5873
"U1482C"	4	2	30	30.2	0.86003	2.1946	1.9552	1.5831
"U1482C"	4	2	41	30.31	0.67182	2.1963	1.8085	1.5884
"U1482C"	4	2	50	30.4	0.76814	1.8857	2.3811	1.5878
"U1482C"	4	2	61	30.51	0.89236	2.3574	2.1327	1.5876
"U1482C"	4	2	70	30.6	1.0219	2.1404	1.9609	1.5909
"U1482C"	4	2	81	30.71	0.89402	1.9941	3.2469	1.5984
"U1482C"	4	2	90	30.8	1.0239	1.586	2.5683	1.5968
"U1482C"	4	2	101	30.91	1.0391	2.6143	2.1396	1.5955
"U1482C"	4	2	110	31	1.0228	2.5218	2.0871	1.5981
"U1482C"	4	2	121	31.11	0.99562	2.231	2.3494	1.6013
"U1482C"	4	2	130	31.2	1.0043	2.6032	2.0221	1.6075
"U1482C"	4	2	141	31.31	1.0777	2.5263	2.7105	1.6117
"U1482C"	4	2	150	31.4	0.88853	2.3991	2.2441	1.6169
"U1482C"	4	3	1	31.41	0.96234	2.5692	2.6558	1.5978
"U1482C"	4	3	10	31.5	1.2577	1.9735	3.1612	1.5889
"U1482C"	4	3	21	31.61	1.1896	2.0866	4.011	1.5749
"U1482C"	4	3	30	31.7	1.1891	2.2902	3.3267	1.5711
"U1482C"	4	3	41	31.81	1.0046	2.5434	2.6184	1.571
"U1482C"	4	3	50	31.9	0.85699	2.5198	2.6201	1.5745
"U1482C"	4	3	61	32.01	0.95129	2.7332	1.62	1.5865
"U1482C"	4	3	70	32.1	0.95168	2.6661	1.9257	1.5874
"U1482C"	4	3	81	32.21	0.84392	2.001	3.1237	1.5928
"U1482C"	4	3	90	32.3	0.83894	2.2953	2.3044	1.5937
"U1482C"	4	3	101	32.41	0.8992	2.2558	2.5054	1.5946
"U1482C"	4	3	110	32.5	0.85498	2.685	2.5016	1.5915
"U1482C"	4	3	121	32.61	0.87484	2.4882	2.0309	1.5822
"U1482C"	4	3	130	32.7	0.84723	2.4753	1.4512	1.5781
"U1482C"	4	3	141	32.81	0.76486	2.6517	2.5146	1.5855
"U1482C"	4	3	150	32.9	0.6977	1.424	2.8563	1.597
"U1482C"	4	4	1	32.91	0.58575	1.9799	0.91466	1.5782
"U1482C"	4	4	10	33	0.77243	2.4446	1.9834	1.5787
"U1482C"	4	4	21	33.11	0.83565	2.0521	2.018	1.5812
"U1482C"	4	4	30	33.2	0.97779	2.0806	2.0356	1.5904
"U1482C"	4	4	41	33.31	0.90864	2.1768	2.6527	1.6026
"U1482C"	4	4	50	33.4	0.90291	2.2241	2.9204	1.6015
"U1482C"	4	4	61	33.51	0.93557	2.6899	2.5801	1.6042
"U1482C"	4	4	70	33.6	0.98552	2.1437	2.0303	1.5984
"U1482C"	4	4	81	33.71	0.94758	2.4041	2.4971	1.5921
"U1482C"	4	4	90	33.8	1.1407	2.1497	3.2913	1.5933
"U1482C"	4	4	101	33.91	1.2217	2.7463	3.75	1.5993
"U1482C"	4	4	110	34	1.2057	2.1447	3.011	1.6011
"U1482C"	4	4	121	34.11	1.2531	1.8116	3.1979	1.6054
"U1482C"	4	4	130	34.2	1.108	1.5974	1.8867	1.6138
"U1482C"	4	4	141	34.31	0.85224	1.8789	2.4627	1.6189
"U1482C"	4	4	150	34.4	0.79519	1.9297	2.5441	1.6207
"U1482C"	4	5	1	34.41	0.69091	1.5418	1.7649	1.6111
"U1482C"	4	5	10	34.5	0.78295	1.8588	2.5005	1.599
"U1482C"	4	5	21	34.61	0.87782	1.9425	1.9548	1.596
"U1482C"	4	5	30	34.7	0.90184	1.9711	2.5198	1.595
"U1482C"	4	5	41	34.81	0.8567	2.0103	2.3357	1.584
"U1482C"	4	5	50	34.9	0.81887	2.2423	2.6118	1.5795
"U1482C"	4	5	61	35.01	0.81336	2.4444	2.1784	1.5831
"U1482C"	4	5	70	35.1	0.95744	2.7342	2.2035	1.5867
"U1482C"	4	5	81	35.21	0.79193	2.4189	2.2303	1.5904
"U1482C"	4	5	90	35.3	0.81096	2.0786	1.9814	1.6011
"U1482C"	4	5	101	35.41	0.86085	2.5755	1.7984	1.611
"U1482C"	4	5	110	35.5	0.96653	2.259	1.9135	1.6081
"U1482C"	4	5	121	35.61	0.84404	1.8502	2.1707	1.6067
"U1482C"	4	5	130	35.7	0.8517	1.9828	1.6001	1.6027
"U1482C"	4	5	141	35.81	0.86275	2.3525	1.8257	1.5917
"U1482C"	4	5	150	35.9	0.63813	1.7916	2.1389	1.5868
"U1482C"	4	6	1	35.91	0.65723	1.7282	1.8684	1.59
"U1482C"	4	6	10	36	0.7698	1.8124	1.5744	1.5884
"U1482C"	4	6	21	36.11	0.76658	1.712	1.913	1.5937
"U1482C"	4	6	30	36.2	0.81329	2.0201	1.4043	1.5972
"U1482C"	4	6	41	36.31	0.73458	2.2513	1.9744	1.5946
"U1482C"	4	6	50	36.4	0.9191	2.17	1.8302	1.576
