"Hole"	"Core"	"Section"	"Offset [cm]"	"m CSF-A"	"K [wt.%]"	"U [mg/kg]"	"Th [mg/kg]"	"GRA bulk density [g/cm^3]"
"U1482C"	1	2	10	1.18	0.7968	1.0316	2.8457	1.4327
"U1482C"	1	2	21	1.29	0.58771	1.0345	1.0815	1.4395
"U1482C"	1	2	30	1.38	0.53263	1.3949	1.3114	1.4395
"U1482C"	1	2	41	1.49	0.52777	1.0959	1.0826	1.4437
"U1482C"	1	2	50	1.58	0.43564	1.0753	1.1373	1.4453
"U1482C"	1	2	61	1.69	0.46046	1.006	0.73685	1.4441
"U1482C"	1	2	70	1.78	0.4719	1.5026	1.3312	1.4478
"U1482C"	1	2	81	1.89	0.40779	1.4348	1.3126	1.4506
"U1482C"	1	2	90	1.98	0.45839	1.4082	1.1502	1.454
"U1482C"	1	2	101	2.09	0.42091	1.8347	1.059	1.455
"U1482C"	1	2	110	2.18	0.48964	1.1744	1.0036	1.4572
"U1482C"	1	2	121	2.29	0.53262	1.4372	1.4048	1.4573
"U1482C"	1	2	130	2.38	0.52605	1.3251	0.95754	1.4604
"U1482C"	1	2	141	2.49	0.48294	1.299	0.45726	1.4467
"U1482C"	1	2	150	2.58	0.39555	1.3538	0.33263	1.4344
"U1482C"	1	3	1	2.59	0.39613	0.93516	0.97078	1.487
"U1482C"	1	3	10	2.68	0.51811	1.3587	0.99539	1.483
"U1482C"	1	3	21	2.79	0.55492	1.3893	0.71919	1.4733
"U1482C"	1	3	30	2.88	0.551	1.5022	1.5697	1.4741
"U1482C"	1	3	41	2.99	0.44108	1.3901	1.1073	1.4737
"U1482C"	1	3	50	3.08	0.53256	1.4033	1.2599	1.4688
"U1482C"	1	3	61	3.19	0.51986	1.7182	0.51303	1.4626
"U1482C"	1	3	70	3.28	0.5032	1.6538	1.3118	1.4693
"U1482C"	1	3	81	3.39	0.48422	1.4624	1.5801	1.4763
"U1482C"	1	3	90	3.48	0.55918	1.2734	0.69288	1.486
"U1482C"	1	3	101	3.59	0.61451	1.6762	1.4269	1.4872
"U1482C"	1	3	110	3.68	0.53736	1.9821	1.2438	1.4873
"U1482C"	1	3	121	3.79	0.60671	1.5189	1.9241	1.4917
"U1482C"	1	3	130	3.88	0.63967	1.7063	1.6338	1.4857
"U1482C"	1	3	141	3.99	0.67707	1.674	1.1789	1.4779
"U1482C"	1	3	150	4.08	0.57265	1.5654	1.207	1.4829
"U1482C"	1	4	1	4.09	0.64393	1.358	1.2433	1.4682
"U1482C"	1	4	10	4.18	0.70857	1.5526	1.4784	1.4783
"U1482C"	1	4	21	4.29	0.67984	1.798	1.433	1.483
"U1482C"	1	4	30	4.38	0.73907	1.5951	1.0749	1.4918
"U1482C"	1	4	41	4.49	0.77684	2.0176	1.8136	1.5079
"U1482C"	1	4	50	4.58	0.82625	2.1621	1.7661	1.5161
"U1482C"	1	4	61	4.69	0.80585	2.1585	1.9	1.5178
"U1482C"	1	4	70	4.78	0.95987	2.415	2.3071	1.5154
"U1482C"	1	4	81	4.89	0.8304	1.893	2.5689	1.5198
"U1482C"	1	4	90	4.98	0.7927	1.9111	2.8426	1.5181
"U1482C"	1	4	101	5.09	0.88616	1.8202	1.2302	1.5151
"U1482C"	1	4	110	5.18	0.91383	2.1252	2.1911	1.5223
"U1482C"	1	4	121	5.29	0.93587	2.0351	2.1086	1.5239
"U1482C"	1	4	130	5.38	0.94575	2.1931	1.3284	1.5174
"U1482C"	1	4	141	5.49	0.85483	2.4874	2.3004	1.5163
"U1482C"	1	4	150	5.58	0.84124	2.0595	1.1786	1.5186
"U1482C"	1	5	1	5.59	0.83783	2.2505	2.7035	1.5225
"U1482C"	1	5	10	5.68	0.88755	2.1704	2.5969	1.5093
"U1482C"	1	5	21	5.79	0.96231	1.7876	1.7446	1.5032
"U1482C"	1	5	30	5.88	0.8965	1.9092	2.3855	1.5061
