Time_Ma,GR_gAPI
2.768,42.77264156
2.769,41.8874341
2.77,41.0314261
2.771,40.516929
2.772,40.21984879
2.773,39.99882139
2.774,39.83871585
2.775,39.62305321
2.776,39.28197828
2.777,38.8046185
2.778,38.12906739
2.779,37.32219052
2.78,36.697017
2.781,36.4013908
2.782,36.55879655
2.783,37.16632127
2.784,37.87442662
2.785,38.53976212
2.786,39.17516297
2.787,39.7889908
2.788,40.45002989
2.789,41.13095458
2.79,41.84860187
2.791,42.52195188
2.792,42.93811525
2.793,42.92643451
2.794,42.61280595
2.795,42.03370946
2.796,41.30727276
2.797,40.62685621
2.798,39.97211069
2.799,39.3227269
2.8,38.58038992
2.801,37.77307499
2.802,37.00245728
2.803,36.32927597
2.804,35.79969813
2.805,35.32497065
2.806,34.74515001
2.807,34.2180554
2.808,33.65620298
2.809,33.14098358
2.81,32.7786625
2.811,32.53267711
2.812,32.35254959
2.813,32.33295216
2.814,32.50145774
2.815,32.90052494
2.816,33.60232795
2.817,34.72618157
2.818,36.27987966
2.819,38.04264919
2.82,39.85264079
2.821,41.69882292
2.822,43.28335329
2.823,44.41626846
2.824,45.20218175
2.825,45.66539035
2.826,45.80989427
2.827,45.76447518
2.828,45.55520367
2.829,45.23806659
2.83,44.95635516
2.831,44.80801338
2.832,44.68846035
2.833,44.50072582
2.834,44.04725421
2.835,43.45251175
2.836,42.91973453
2.837,42.51550138
2.838,42.27718602
2.839,42.16749887
2.84,42.10221232
2.841,42.32621476
2.842,42.6795678
2.843,43.0143111
2.844,43.39168635
2.845,43.60951903
2.846,43.43036699
2.847,43.02836049
2.848,42.34528205
2.849,41.36343932
2.85,40.65381764
2.851,40.27689566
2.852,40.29354964
2.853,40.54267644
2.854,40.62037822
2.855,40.35206454
2.856,39.75053385
2.857,38.74707319
2.858,37.73757339
2.859,37.24173545
2.86,37.31661095
2.861,37.94906767
2.862,38.9351768
2.863,39.65677492
2.864,39.97906482
2.865,39.93916167
2.866,39.77495145
2.867,39.68154324
2.868,39.84715784
2.869,40.30222572
2.87,41.02348956
2.871,41.88507678
2.872,42.45279118
2.873,42.58900977
2.874,42.35862316
2.875,41.90863156
2.876,41.35487125
2.877,40.98624186
2.878,40.80271593
2.879,40.55564574
2.88,40.11175236
2.881,39.46481827
2.882,38.73087566
2.883,38.06762389
2.884,37.6140399
2.885,37.460286
2.886,37.55345871
2.887,37.72874629
2.888,37.92139567
2.889,38.13882724
2.89,38.2051366
2.891,38.20315483
2.892,38.26230229
2.893,38.41486179
2.894,38.55899705
2.895,38.63660421
2.896,38.67709414
2.897,38.65195253
2.898,38.60941815
2.899,38.77465433
2.9,38.96610209
2.901,39.03234561
2.902,38.98498299
2.903,38.84331274
2.904,38.50750136
2.905,37.96610917
2.906,37.31935062
2.907,36.66238325
2.908,35.96942003
2.909,35.23053199
2.91,34.45951185
2.911,33.57563023
2.912,32.5960768
2.913,31.86793432
2.914,31.78684814
2.915,32.4390947
2.916,33.55420524
2.917,35.0229108
2.918,36.75871308
2.919,38.53316037
2.92,40.26951966
2.921,41.76938352
2.922,43.01102953
2.923,44.1137537
2.924,45.17949468
2.925,46.21572855
2.926,47.12005451
2.927,47.56917097
2.928,47.63005071
2.929,47.46411854
2.93,47.03797365
2.931,46.44323353
2.932,45.85179806
2.933,45.32465985
2.934,44.98461291
2.935,44.76366086
2.936,44.47990389
2.937,44.08314302
2.938,43.61887568
2.939,43.06130334
2.94,42.4572958
2.941,41.89652639
2.942,41.29808015
2.943,40.77714873
2.944,40.42659396
2.945,40.25057723
2.946,40.14410451
2.947,40.03988209
2.948,40.00148032
2.949,40.09165928
2.95,40.28130899
2.951,40.57943878
2.952,41.05861953
2.953,41.50589741
2.954,41.74828373
2.955,41.79251336
2.956,41.52967497
2.957,40.93107632
2.958,40.15022701
2.959,39.37500326
2.96,38.7844922
2.961,38.45515897
2.962,38.34179536
2.963,38.38862843
2.964,38.57930756
2.965,38.85975271
2.966,39.30299083
2.967,39.91914069
2.968,40.77085495
2.969,41.83109201
2.97,42.92820668
2.971,43.83393227
2.972,44.56076273
2.973,44.98464576
2.974,45.04067959
2.975,44.82154748
2.976,44.43375051
2.977,44.0011701
2.978,43.53638537
2.979,42.81268133
2.98,41.79536229
2.981,40.58816215
2.982,39.34762637
2.983,38.30175878
2.984,37.61707682
2.985,37.2705329
2.986,37.37020239
2.987,37.87041316
2.988,38.52356597
2.989,39.09608139
2.99,39.40502264
2.991,39.4703689
2.992,39.52162965
2.993,39.68833864
2.994,39.89607511
2.995,40.33857354
2.996,41.08410738
2.997,41.88809038
2.998,42.63851399
2.999,43.23525776
3,43.78545414
3.001,44.28603979
3.002,44.8212447
3.003,45.51265712
3.004,46.35059577
3.005,47.16530449
3.006,47.88973437
3.007,48.63032367
3.008,49.13304205
3.009,49.27646807
3.01,49.14332155
3.011,48.84156079
3.012,48.44975265
3.013,47.94500941
3.014,47.60144167
3.015,47.45172547
3.016,47.49102479
3.017,47.73384254
3.018,48.0741431
3.019,48.3386919
3.02,48.42332986
3.021,48.06318173
3.022,47.50508779
3.023,47.13401651
3.024,47.18566446
3.025,47.44747239
3.026,47.72587842
3.027,47.91912511
3.028,47.99058953
3.029,47.86497856
3.03,47.6204542
3.031,47.43710043
3.032,47.43422656
3.033,47.7265114
3.034,48.49568595
3.035,49.52905315
3.036,50.41583043
3.037,50.94587717
3.038,51.25486045
3.039,51.49891622
3.04,51.68278853
3.041,51.83486888
3.042,52.08824117
3.043,52.63457772
3.044,53.45055934
3.045,54.42333681
3.046,55.44239051
3.047,56.25905156
3.048,56.80403124
3.049,56.9409021
3.05,56.65573156
3.051,56.05355013
3.052,55.36928431
3.053,54.65574783
3.054,53.81910541
3.055,52.63690249
3.056,51.22060478
3.057,49.83811261
3.058,48.5680735
3.059,47.44132138
3.06,46.65381571
3.061,46.24976525
3.062,46.08101708
3.063,45.98995771
3.064,45.8950019
3.065,45.57166758
3.066,45.17349831
3.067,44.83357597
3.068,44.71407816
3.069,44.68959488
3.07,44.54324538
3.071,44.0957376
3.072,43.42392717
3.073,42.56405343
3.074,41.56814082
3.075,40.77466977
3.076,40.37689769
3.077,40.34280073
