Age_Ma,GR_gAPI
2.818,42.12454633
2.819,42.05648229
2.82,41.97263465
2.821,41.87300745
2.822,41.76709227
2.823,41.57260769
2.824,41.28957227
2.825,41.02318739
2.826,40.8385028
2.827,40.7355083
2.828,40.71215723
2.829,40.77244574
2.83,40.91241091
2.831,40.89727492
2.832,40.70225183
2.833,40.3342966
2.834,39.89477687
2.835,39.40485759
2.836,38.86306274
2.837,38.3737022
2.838,37.96366855
2.839,37.68459196
2.84,37.59203694
2.841,37.67979497
2.842,37.91220097
2.843,38.06445137
2.844,38.13387334
2.845,38.10744107
2.846,37.88043857
2.847,37.45289343
2.848,36.90857159
2.849,36.50068095
2.85,36.22919682
2.851,36.04500973
2.852,35.93481607
2.853,35.89860238
2.854,35.85296976
2.855,35.82314056
2.856,35.80910492
2.857,35.87949819
2.858,36.063183
2.859,36.36012776
2.86,36.76046066
2.861,37.08055978
2.862,37.32846301
2.863,37.51397255
2.864,37.57182601
2.865,37.45796433
2.866,37.08034561
2.867,36.56762031
2.868,36.15171863
2.869,35.80995891
2.87,35.53709292
2.871,35.30704835
2.872,34.98976103
2.873,34.56761052
2.874,34.02437216
2.875,33.2940302
2.876,32.37132733
2.877,31.44212381
2.878,30.76723315
2.879,30.34928149
2.88,30.27692106
2.881,30.57525317
2.882,31.24420457
2.883,32.12861593
2.884,32.94761888
2.885,33.46671433
2.886,33.71556222
2.887,33.76688826
2.888,33.62072521
2.889,33.39580581
2.89,33.2327375
2.891,33.1315079
2.892,33.13402602
2.893,33.24251264
2.894,33.45694758
2.895,33.66243272
2.896,33.79120069
2.897,33.84485829
2.898,33.89016282
2.899,33.95997613
2.9,34.07307906
2.901,34.33197965
2.902,34.68910372
2.903,35.12962845
2.904,35.61832122
2.905,36.17916264
2.906,36.771376
2.907,37.22740364
2.908,37.52153114
2.909,37.6552004
2.91,37.64660752
2.911,37.50245307
2.912,37.26311757
2.913,37.08806244
2.914,37.00845057
2.915,36.99764044
2.916,37.04019634
2.917,37.14024904
2.918,37.3475011
2.919,37.59853796
2.92,37.87586872
2.921,38.14726349
2.922,38.49285267
2.923,38.92193272
2.924,39.47909178
2.925,40.15354194
2.926,40.94416329
2.927,41.83163412
2.928,42.62350405
2.929,43.31978306
2.93,43.83494412
2.931,44.25129821
2.932,44.56886131
2.933,44.7702996
2.934,44.85213201
2.935,44.81437665
2.936,44.75938358
2.937,44.66200242
2.938,44.5222402
2.939,44.25267131
2.94,43.90524901
2.941,43.47998249
2.942,42.99219941
2.943,42.38231649
2.944,41.65454827
2.945,41.0314261
2.946,40.59784946
2.947,40.34497303
2.948,40.14946641
2.949,39.99254452
2.95,39.87411322
2.951,39.74769406
2.952,39.53995931
2.953,39.25954514
2.954,38.91434623
2.955,38.45714737
2.956,37.87129027
2.957,37.24731328
2.958,36.7620823
2.959,36.43675579
2.96,36.3687462
2.961,36.59499661
2.962,37.07869345
2.963,37.62636736
2.964,38.14315749
2.965,38.63891327
2.966,39.12024627
