Depth_mbrt,GR_gAPI
530.2,39.85233914
530.4,38.9701473
530.6,42.61415054
530.8,40.01749214
531,42.94386294
531.2,46.71600384
531.4,46.21589966
531.6,46.69331873
531.8,40.42061029
532,31.10246971
532.2,31.50354589
532.4,36.77717098
532.6,41.53436344
532.8,45.0047755
533,44.27566108
533.2,42.68586673
533.4,45.50078521
533.6,47.57390233
533.8,50.99983422
534,53.74164514
534.2,47.56712905
534.4,43.19347124
534.6,38.34963555
534.8,28.32569157
535,34.3593334
535.2,47.56236374
535.4,47.21043966
535.6,37.55667099
535.8,47.46568792
536,44.95405637
536.2,34.12500315
536.2676056,28.78787879
536.4,34.93400946
536.6,39.43436463
536.8,34.86044444
537,40.06635116
537.2,51.51439228
537.4,55.90507942
537.6,48.78012129
537.8,42.28418778
537.9841549,36.36363636
538,40.80505165
538.2,51.66985237
538.4,50.82357337
538.6,41.00798574
538.8,40.74091949
539,42.03409048
539.2,40.46299226
539.4,45.7631146
539.6,46.18198512
539.8,43.26685833
540,37.11641256
540.2,35.49905338
540.4,41.39332211
540.6,47.45621804
540.8,41.98848437
541,31.71574638
541.2,29.79742875
541.4,35.88685468
541.6,40.2061688
541.8,41.41668647
542,40.83718423
542.2,39.29036965
542.4,43.71714556
542.4735915,36.36363636
542.6,44.54961047
542.8,49.68511736
543,63.01499398
543.2,55.2700801
543.4,46.71401781
543.6,38.86057103
543.8,39.28802716
544,41.99003684
544.2,37.75612545
544.4,33.21953174
544.6,38.08300541
544.8,42.80556825
545,40.41503537
545.2,41.56410126
545.4,34.79953231
545.6,38.76933201
545.8,47.69614014
546,52.44366218
546.2,58.36359098
546.4,55.64852842
546.6,47.94465232
546.8,47.78966769
547,46.12650069
547.2,37.29164004
547.4,38.26695137
547.6,36.20384237
547.8,36.58211577
548,39.35444599
548.2,29.87158517
548.4,27.6131456
548.6,34.77074035
548.8,43.58783518
549,44.44659891
549.2,42.30589825
549.4,44.05026074
549.6,38.54210142
549.8,35.66156438
550,36.7989418
550.2,37.61308575
550.4,39.5181769
550.6,46.72983426
550.8,46.43795881
551,47.1517084
551.2,46.43934697
551.4,42.64055763
551.6,37.91271184
551.8,38.45501458
552,39.90703814
552.2,39.18371317
552.4,38.17382123
552.6,37.4700032
552.8,39.85819507
553,50.92528312
553.2,58.99121174
553.4,52.23491328
553.6,40.69453751
553.8,33.15922781
554,34.15901072
554.2,40.45761198
554.4,50.31759923
554.6,50.96438079
554.8,47.41216465
555,38.76143205
555.2,39.12073841
555.4,44.10168918
555.4404145,48.88888889
555.6,45.16520536
555.8,45.86806834
556,42.98402778
556.2,36.24672033
556.4,31.45827121
556.6,36.27407281
556.8,40.38395213
557,43.870232
557.2,38.18879951
557.4,34.33557793
557.6,36.81876548
557.8,32.83277465
558,30.90810279
558.1606218,28.14814815
558.2,33.63417523
558.4,35.62212684
558.6,47.1170563
558.8,46.39790392
