Record,Sample_ID,depth mbsf,age_tuned,tuning target,age model source,benthic d13C VPDB,benthic d18O VPDB,benthic Species,benthic Source,benthic d13C VPDB Corr,benthic d18O VPDB Corr,IsotopeCorrNote,benthic d13C VPDB CorrAdjusted,benthic d18O VPDB CorrAdjusted,benthic_CorrAdjusted_Note,benthic d13C smoothLoess10,benthic d18O smoothLoess10
U1490,"353-U1490A-26H-5,108-110",239.28,15.894,E+T+0.2P,Holbourn et al. 2024,1.73,1.15,CMUND,Holbourn et al. 2024,1.73,1.79,d18O +0.64‰; d13C +0.00‰,1.53,1.89,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,112-114",239.32,15.898,E+T+0.2P,Holbourn et al. 2024,1.73,1.38,CMUND,Holbourn et al. 2024,1.73,2.02,d18O +0.64‰; d13C +0.00‰,1.53,2.12,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,116-118",239.36,15.902,E+T+0.2P,Holbourn et al. 2024,1.96,1.45,CMUND,Holbourn et al. 2024,1.96,2.09,d18O +0.64‰; d13C +0.00‰,1.76,2.19,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,120-122",239.4,15.906,E+T+0.2P,Holbourn et al. 2024,1.92,1.59,CMUND,Holbourn et al. 2024,1.92,2.23,d18O +0.64‰; d13C +0.00‰,1.72,2.33,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,124-126",239.44,15.91,E+T+0.2P,Holbourn et al. 2024,1.93,1.59,CMUND,Holbourn et al. 2024,1.93,2.23,d18O +0.64‰; d13C +0.00‰,1.73,2.33,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,128-130",239.48,15.914,E+T+0.2P,Holbourn et al. 2024,1.9,1.61,CMUND,Holbourn et al. 2024,1.9,2.25,d18O +0.64‰; d13C +0.00‰,1.7,2.35,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,132-134",239.52,15.918,E+T+0.2P,Holbourn et al. 2024,1.82,1.59,CMUND,Holbourn et al. 2024,1.82,2.23,d18O +0.64‰; d13C +0.00‰,1.62,2.33,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,136-138",239.56,15.922,E+T+0.2P,Holbourn et al. 2024,1.87,1.69,CMUND,Holbourn et al. 2024,1.87,2.33,d18O +0.64‰; d13C +0.00‰,1.67,2.43,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,140-142",239.6,15.926,E+T+0.2P,Holbourn et al. 2024,1.88,1.6,CMUND,Holbourn et al. 2024,1.88,2.24,d18O +0.64‰; d13C +0.00‰,1.68,2.34,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,144-146",239.64,15.93,E+T+0.2P,Holbourn et al. 2024,1.8,1.47,CMUND,Holbourn et al. 2024,1.8,2.11,d18O +0.64‰; d13C +0.00‰,1.6,2.21,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-5,148-150",239.68,15.934,E+T+0.2P,Holbourn et al. 2024,1.98,1.47,CMUND,Holbourn et al. 2024,1.98,2.11,d18O +0.64‰; d13C +0.00‰,1.78,2.21,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,2-4",239.72,15.938,E+T+0.2P,Holbourn et al. 2024,1.95,1.42,CMUND,Holbourn et al. 2024,1.95,2.06,d18O +0.64‰; d13C +0.00‰,1.75,2.16,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,6-8",239.76,15.942,E+T+0.2P,Holbourn et al. 2024,1.9,1.4,CMUND,Holbourn et al. 2024,1.9,2.04,d18O +0.64‰; d13C +0.00‰,1.7,2.14,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,10-12",239.8,15.946,E+T+0.2P,Holbourn et al. 2024,1.94,1.51,CMUND,Holbourn et al. 2024,1.94,2.15,d18O +0.64‰; d13C +0.00‰,1.74,2.25,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,14-16",239.84,15.95,E+T+0.2P,Holbourn et al. 2024,1.79,1.32,CMUND,Holbourn et al. 2024,1.79,1.96,d18O +0.64‰; d13C +0.00‰,1.59,2.06,d18O +0.10‰; d13C -0.20‰,,
