Record,Sample_ID,depth mbsf,age_tuned,tuning target,age model source,benthic d13C VPDB,benthic d18O VPDB,benthic Species,benthic Source,benthic d13C VPDB Corr,benthic d18O VPDB Corr,IsotopeCorrNote,benthic d13C VPDB CorrAdjusted,benthic d18O VPDB CorrAdjusted,benthic_CorrAdjusted_Note,benthic d13C smoothLoess10,benthic d18O smoothLoess10
U1490,"353-U1490A-27H-4,32-34",246.52,16.856,E+T+0.2P,Holbourn et al. 2024,0.91,1.009,CMUND,Holbourn et al. 2024,0.91,1.649,d18O +0.64‰; d13C +0.00‰,0.71,1.749,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,36-38",246.56,16.862,E+T+0.2P,Holbourn et al. 2024,1.24,1.345,CMUND,Holbourn et al. 2024,1.24,1.985,d18O +0.64‰; d13C +0.00‰,1.04,2.085,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,40-42",246.6,16.867,E+T+0.2P,Holbourn et al. 2024,0.91,1.061,CMUND,Holbourn et al. 2024,0.91,1.701,d18O +0.64‰; d13C +0.00‰,0.71,1.801,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,44-46",246.64,16.872,E+T+0.2P,Holbourn et al. 2024,1.13,0.949,CMUND,Holbourn et al. 2024,1.13,1.589,d18O +0.64‰; d13C +0.00‰,0.93,1.689,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,48-50",246.68,16.877,E+T+0.2P,Holbourn et al. 2024,0.84,0.874,CMUND,Holbourn et al. 2024,0.84,1.514,d18O +0.64‰; d13C +0.00‰,0.64,1.614,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,52-54",246.72,16.883,E+T+0.2P,Holbourn et al. 2024,1.1,1.003,CMUND,Holbourn et al. 2024,1.1,1.643,d18O +0.64‰; d13C +0.00‰,0.9,1.743,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,56-58",246.76,16.888,E+T+0.2P,Holbourn et al. 2024,1.42,1.16,CMUND,Holbourn et al. 2024,1.42,1.8,d18O +0.64‰; d13C +0.00‰,1.22,1.9,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,60-62",246.8,16.893,E+T+0.2P,Holbourn et al. 2024,1.11,1.11,CMUND,Holbourn et al. 2024,1.11,1.75,d18O +0.64‰; d13C +0.00‰,0.91,1.85,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,64-66",246.84,16.898,E+T+0.2P,Holbourn et al. 2024,1.02,0.978,CMUND,Holbourn et al. 2024,1.02,1.618,d18O +0.64‰; d13C +0.00‰,0.82,1.718,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,68-70",246.88,16.904,E+T+0.2P,Holbourn et al. 2024,1.05,1.234,CMUND,Holbourn et al. 2024,1.05,1.874,d18O +0.64‰; d13C +0.00‰,0.85,1.974,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,72-74",246.92,16.909,E+T+0.2P,Holbourn et al. 2024,1.19,1.115,CMUND,Holbourn et al. 2024,1.19,1.755,d18O +0.64‰; d13C +0.00‰,0.99,1.855,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,76-78",246.96,16.914,E+T+0.2P,Holbourn et al. 2024,1.3,1.408,CMUND,Holbourn et al. 2024,1.3,2.048,d18O +0.64‰; d13C +0.00‰,1.1,2.148,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,80-82",247,16.919,E+T+0.2P,Holbourn et al. 2024,1.19,1.186,CMUND,Holbourn et al. 2024,1.19,1.826,d18O +0.64‰; d13C +0.00‰,0.99,1.926,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,84-86",247.04,16.925,E+T+0.2P,Holbourn et al. 2024,1.05,1.025,CMUND,Holbourn et al. 2024,1.05,1.665,d18O +0.64‰; d13C +0.00‰,0.85,1.765,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,88-90",247.08,16.93,E+T+0.2P,Holbourn et al. 2024,1.24,1.22,CMUND,Holbourn et al. 2024,1.24,1.86,d18O +0.64‰; d13C +0.00‰,1.04,1.96,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,92-94",247.12,16.934,E+T+0.2P,Holbourn et al. 2024,1.38,1.402,CMUND,Holbourn et al. 2024,1.38,2.042,d18O +0.64‰; d13C +0.00‰,1.18,2.142,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,96-98",247.16,16.939,E+T+0.2P,Holbourn et al. 2024,1.28,1.245,CMUND,Holbourn et al. 2024,1.28,1.885,d18O +0.64‰; d13C +0.00‰,1.08,1.985,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,100-102",247.2,16.944,E+T+0.2P,Holbourn et al. 2024,1.43,1.413,CMUND,Holbourn et al. 2024,1.43,2.053,d18O +0.64‰; d13C +0.00‰,1.23,2.153,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,104-106",247.24,16.948,E+T+0.2P,Holbourn et al. 2024,1.44,1.53,CMUND,Holbourn et al. 2024,1.44,2.17,d18O +0.64‰; d13C +0.00‰,1.24,2.27,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,108-110",247.28,16.953,E+T+0.2P,Holbourn et al. 2024,1.26,1.301,CMUND,Holbourn et al. 2024,1.26,1.941,d18O +0.64‰; d13C +0.00‰,1.06,2.041,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,112-114",247.32,16.958,E+T+0.2P,Holbourn et al. 2024,1.26,1.266,CMUND,Holbourn et al. 2024,1.26,1.906,d18O +0.64‰; d13C +0.00‰,1.06,2.006,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,116-118",247.36,16.963,E+T+0.2P,Holbourn et al. 2024,1.18,1.356,CMUND,Holbourn et al. 2024,1.18,1.996,d18O +0.64‰; d13C +0.00‰,0.98,2.096,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,120-122",247.4,16.967,E+T+0.2P,Holbourn et al. 2024,1.27,1.389,CMUND,Holbourn et al. 2024,1.27,2.029,d18O +0.64‰; d13C +0.00‰,1.07,2.129,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,124-126",247.44,16.972,E+T+0.2P,Holbourn et al. 2024,1.12,1.311,CMUND,Holbourn et al. 2024,1.12,1.951,d18O +0.64‰; d13C +0.00‰,0.92,2.051,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,128-130",247.48,16.977,E+T+0.2P,Holbourn et al. 2024,1.2,1.485,CMUND,Holbourn et al. 2024,1.2,2.125,d18O +0.64‰; d13C +0.00‰,1,2.225,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,132-134",247.52,16.982,E+T+0.2P,Holbourn et al. 2024,1.03,1.351,CMUND,Holbourn et al. 2024,1.03,1.991,d18O +0.64‰; d13C +0.00‰,0.83,2.091,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,136-138",247.56,16.986,E+T+0.2P,Holbourn et al. 2024,1.24,1.474,CMUND,Holbourn et al. 2024,1.24,2.114,d18O +0.64‰; d13C +0.00‰,1.04,2.214,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,140-142",247.6,16.991,E+T+0.2P,Holbourn et al. 2024,1.19,1.437,CMUND,Holbourn et al. 2024,1.19,2.077,d18O +0.64‰; d13C +0.00‰,0.99,2.177,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,144-146",247.64,16.996,E+T+0.2P,Holbourn et al. 2024,1.07,1.19,CMUND,Holbourn et al. 2024,1.07,1.83,d18O +0.64‰; d13C +0.00‰,0.87,1.93,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-4,148-150",247.68,17,E+T+0.2P,Holbourn et al. 2024,1.32,1.373,CMUND,Holbourn et al. 2024,1.32,2.013,d18O +0.64‰; d13C +0.00‰,1.12,2.113,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,2-4",247.72,17.005,E+T+0.2P,Holbourn et al. 2024,1.29,1.395,CMUND,Holbourn et al. 2024,1.29,2.035,d18O +0.64‰; d13C +0.00‰,1.09,2.135,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,6-8",247.76,17.01,E+T+0.2P,Holbourn et al. 2024,1.27,1.545,CMUND,Holbourn et al. 2024,1.27,2.185,d18O +0.64‰; d13C +0.00‰,1.07,2.285,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,8-10",247.78,17.012,E+T+0.2P,Holbourn et al. 2024,1.11,1.366,CMUND,Holbourn et al. 2024,1.11,2.006,d18O +0.64‰; d13C +0.00‰,0.91,2.106,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,12-14",247.82,17.017,E+T+0.2P,Holbourn et al. 2024,1.31,1.53,CMUND,Holbourn et al. 2024,1.31,2.17,d18O +0.64‰; d13C +0.00‰,1.11,2.27,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,14-16",247.84,17.019,E+T+0.2P,Holbourn et al. 2024,1.17,1.381,CMUND,Holbourn et al. 2024,1.17,2.021,d18O +0.64‰; d13C +0.00‰,0.97,2.121,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,18-20",247.88,17.024,E+T+0.2P,Holbourn et al. 2024,1.16,1.355,CMUND,Holbourn et al. 2024,1.16,1.995,d18O +0.64‰; d13C +0.00‰,0.96,2.095,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,22-24",247.92,17.029,E+T+0.2P,Holbourn et al. 2024,1.15,1.513,CMUND,Holbourn et al. 2024,1.15,2.153,d18O +0.64‰; d13C +0.00‰,0.95,2.253,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,26-28",247.96,17.033,E+T+0.2P,Holbourn et al. 2024,1.13,1.44,CMUND,Holbourn et al. 2024,1.13,2.08,d18O +0.64‰; d13C +0.00‰,0.93,2.18,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,30-32",248,17.038,E+T+0.2P,Holbourn et al. 2024,1.11,1.423,CMUND,Holbourn et al. 2024,1.11,2.063,d18O +0.64‰; d13C +0.00‰,0.91,2.163,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,34-36",248.04,17.043,E+T+0.2P,Holbourn et al. 2024,0.98,1.11,CMUND,Holbourn et al. 2024,0.98,1.75,d18O +0.64‰; d13C +0.00‰,0.78,1.85,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,38-40",248.08,17.048,E+T+0.2P,Holbourn et al. 2024,1.13,1.534,CMUND,Holbourn et al. 2024,1.13,2.174,d18O +0.64‰; d13C +0.00‰,0.93,2.274,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,42-44",248.12,17.052,E+T+0.2P,Holbourn et al. 2024,1.09,1.3,OUMB,Holbourn et al. 2024,1.09,1.94,d18O +0.64‰; d13C +0.00‰,0.89,2.04,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,46-48",248.16,17.057,E+T+0.2P,Holbourn et al. 2024,1.14,1.25,CMUND,Holbourn et al. 2024,1.14,1.89,d18O +0.64‰; d13C +0.00‰,0.94,1.99,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,50-52",248.2,17.062,E+T+0.2P,Holbourn et al. 2024,1.19,1.335,CMUND,Holbourn et al. 2024,1.19,1.975,d18O +0.64‰; d13C +0.00‰,0.99,2.075,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,54-56",248.24,17.067,E+T+0.2P,Holbourn et al. 2024,1.16,1.514,CMUND,Holbourn et al. 2024,1.16,2.154,d18O +0.64‰; d13C +0.00‰,0.96,2.254,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,58-60",248.28,17.071,E+T+0.2P,Holbourn et al. 2024,1.06,1.404,CMUND,Holbourn et al. 2024,1.06,2.044,d18O +0.64‰; d13C +0.00‰,0.86,2.144,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,62-64",248.32,17.076,E+T+0.2P,Holbourn et al. 2024,1.07,1.428,CMUND,Holbourn et al. 2024,1.07,2.068,d18O +0.64‰; d13C +0.00‰,0.87,2.168,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,66-68",248.36,17.081,E+T+0.2P,Holbourn et al. 2024,1.21,1.374,CMUND,Holbourn et al. 2024,1.21,2.014,d18O +0.64‰; d13C +0.00‰,1.01,2.114,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,70-72",248.4,17.085,E+T+0.2P,Holbourn et al. 2024,1.09,1.36,OUMB,Holbourn et al. 2024,1.09,2,d18O +0.64‰; d13C +0.00‰,0.89,2.1,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,74-76",248.44,17.09,E+T+0.2P,Holbourn et al. 2024,1.24,1.539,CMUND,Holbourn et al. 2024,1.24,2.179,d18O +0.64‰; d13C +0.00‰,1.04,2.279,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,78-80",248.48,17.095,E+T+0.2P,Holbourn et al. 2024,1.16,1.519,CMUND,Holbourn et al. 2024,1.16,2.159,d18O +0.64‰; d13C +0.00‰,0.96,2.259,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-27H-5,82-84",248.52,17.1,E+T+0.2P,Holbourn et al. 2024,0.95,1.285,CWUEF/CMUND,Holbourn et al. 2024,0.95,1.925,d18O +0.64‰; d13C +0.00‰,0.75,2.025,d18O +0.10‰; d13C -0.20‰,,
,,,,,,,,,,,,,,,,,
1264,"208-1264A-20H-2W,52-53",182.325,17.1007,Eccentricity,Liebrand et al. 2016,1.16,1.76,CMUND,Liebrand et al. 2011;2016,1.16,2.4,d18O +0.64‰; d13C +0.00‰,0.66,2.3,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,54-55",182.345,17.1051,Eccentricity,Liebrand et al. 2016,1.2,1.59,CMUND,Liebrand et al. 2011;2016,1.2,2.23,d18O +0.64‰; d13C +0.00‰,0.7,2.13,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,56-57",182.365,17.1095,Eccentricity,Liebrand et al. 2016,1.47,1.78,CMUND,Liebrand et al. 2011;2016,1.47,2.42,d18O +0.64‰; d13C +0.00‰,0.97,2.32,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,58-59",182.385,17.114,Eccentricity,Liebrand et al. 2016,1.49,1.72,CMUND,Liebrand et al. 2011;2016,1.49,2.36,d18O +0.64‰; d13C +0.00‰,0.99,2.26,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,60-61",182.405,17.1184,Eccentricity,Liebrand et al. 2016,1.39,1.61,CMUND,Liebrand et al. 2011;2016,1.39,2.25,d18O +0.64‰; d13C +0.00‰,0.89,2.15,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,62-63",182.425,17.1228,Eccentricity,Liebrand et al. 2016,1.42,1.61,CMUND,Liebrand et al. 2011;2016,1.42,2.25,d18O +0.64‰; d13C +0.00‰,0.92,2.15,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,64-65",182.445,17.1273,Eccentricity,Liebrand et al. 2016,1,1.35,CMUND,Liebrand et al. 2011;2016,1,1.99,d18O +0.64‰; d13C +0.00‰,0.5,1.89,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,66-67",182.465,17.1317,Eccentricity,Liebrand et al. 2016,1.36,1.99,CMUND,Liebrand et al. 2011;2016,1.36,2.63,d18O +0.64‰; d13C +0.00‰,0.86,2.53,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,68-69",182.485,17.1361,Eccentricity,Liebrand et al. 2016,1.44,1.8,CMUND,Liebrand et al. 2011;2016,1.44,2.44,d18O +0.64‰; d13C +0.00‰,0.94,2.34,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,70-71",182.505,17.1404,Eccentricity,Liebrand et al. 2016,1.2,1.79,CMUND,Liebrand et al. 2011;2016,1.2,2.43,d18O +0.64‰; d13C +0.00‰,0.7,2.33,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,72-73",182.525,17.1447,Eccentricity,Liebrand et al. 2016,1.43,1.9,CMUND,Liebrand et al. 2011;2016,1.43,2.54,d18O +0.64‰; d13C +0.00‰,0.93,2.44,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,74-75",182.545,17.149,Eccentricity,Liebrand et al. 2016,1.38,1.86,CMUND,Liebrand et al. 2011;2016,1.38,2.5,d18O +0.64‰; d13C +0.00‰,0.88,2.4,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,76-77",182.565,17.1534,Eccentricity,Liebrand et al. 2016,1.43,1.69,CMUND,Liebrand et al. 2011;2016,1.43,2.33,d18O +0.64‰; d13C +0.00‰,0.93,2.23,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,78-79",182.585,17.1577,Eccentricity,Liebrand et al. 2016,1.16,1.73,CMUND,Liebrand et al. 2011;2016,1.16,2.37,d18O +0.64‰; d13C +0.00‰,0.66,2.27,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,82-83",182.625,17.1663,Eccentricity,Liebrand et al. 2016,1.17,1.68,CMUND,Liebrand et al. 2011;2016,1.17,2.32,d18O +0.64‰; d13C +0.00‰,0.67,2.22,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,84-85",182.645,17.1706,Eccentricity,Liebrand et al. 2016,1.49,1.66,CMUND,Liebrand et al. 2011;2016,1.49,2.3,d18O +0.64‰; d13C +0.00‰,0.99,2.2,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,86-87",182.665,17.175,Eccentricity,Liebrand et al. 2016,1.19,1.47,CMUND,Liebrand et al. 2011;2016,1.19,2.11,d18O +0.64‰; d13C +0.00‰,0.69,2.01,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,88-89",182.685,17.1793,Eccentricity,Liebrand et al. 2016,1.35,1.56,CMUND,Liebrand et al. 2011;2016,1.35,2.2,d18O +0.64‰; d13C +0.00‰,0.85,2.1,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,90-91",182.705,17.1836,Eccentricity,Liebrand et al. 2016,1.08,1.83,CMUND,Liebrand et al. 2011;2016,1.08,2.47,d18O +0.64‰; d13C +0.00‰,0.58,2.37,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,94-95",182.745,17.1922,Eccentricity,Liebrand et al. 2016,1.39,1.74,CMUND,Liebrand et al. 2011;2016,1.39,2.38,d18O +0.64‰; d13C +0.00‰,0.89,2.28,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,96-97",182.765,17.1966,Eccentricity,Liebrand et al. 2016,1.13,1.52,CMUND,Liebrand et al. 2011;2016,1.13,2.16,d18O +0.64‰; d13C +0.00‰,0.63,2.06,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,100-101",182.805,17.2052,Eccentricity,Liebrand et al. 2016,1.31,1.6,CMUND,Liebrand et al. 2011;2016,1.31,2.24,d18O +0.64‰; d13C +0.00‰,0.81,2.14,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,102-103",182.825,17.2095,Eccentricity,Liebrand et al. 2016,1.24,1.65,CMUND,Liebrand et al. 2011;2016,1.24,2.29,d18O +0.64‰; d13C +0.00‰,0.74,2.19,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,104-105",182.845,17.2138,Eccentricity,Liebrand et al. 2016,1.33,1.78,CMUND,Liebrand et al. 2011;2016,1.33,2.42,d18O +0.64‰; d13C +0.00‰,0.83,2.32,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,106-107",182.865,17.2182,Eccentricity,Liebrand et al. 2016,1.65,1.64,CMUND,Liebrand et al. 2011;2016,1.65,2.28,d18O +0.64‰; d13C +0.00‰,1.15,2.18,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,108-109",182.885,17.2225,Eccentricity,Liebrand et al. 2016,1.42,2.01,CMUND,Liebrand et al. 2011;2016,1.42,2.65,d18O +0.64‰; d13C +0.00‰,0.92,2.55,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,110-111",182.905,17.2268,Eccentricity,Liebrand et al. 2016,1.47,1.83,CMUND,Liebrand et al. 2011;2016,1.47,2.47,d18O +0.64‰; d13C +0.00‰,0.97,2.37,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,112-113",182.925,17.2311,Eccentricity,Liebrand et al. 2016,1.55,1.6,CMUND,Liebrand et al. 2011;2016,1.55,2.24,d18O +0.64‰; d13C +0.00‰,1.05,2.14,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,114-115",182.945,17.2354,Eccentricity,Liebrand et al. 2016,1.58,1.97,CMUND,Liebrand et al. 2011;2016,1.58,2.61,d18O +0.64‰; d13C +0.00‰,1.08,2.51,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,116-117",182.965,17.2398,Eccentricity,Liebrand et al. 2016,1.55,1.78,CMUND,Liebrand et al. 2011;2016,1.55,2.42,d18O +0.64‰; d13C +0.00‰,1.05,2.32,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,120-121",183.005,17.2482,Eccentricity,Liebrand et al. 2016,1.44,1.75,CMUND,Liebrand et al. 2011;2016,1.44,2.39,d18O +0.64‰; d13C +0.00‰,0.94,2.29,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,124-125",183.045,17.2566,Eccentricity,Liebrand et al. 2016,1.35,1.73,CMUND,Liebrand et al. 2011;2016,1.35,2.37,d18O +0.64‰; d13C +0.00‰,0.85,2.27,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,126-127",183.065,17.2608,Eccentricity,Liebrand et al. 2016,1.51,1.96,CMUND,Liebrand et al. 2011;2016,1.51,2.6,d18O +0.64‰; d13C +0.00‰,1.01,2.5,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,128-129",183.085,17.265,Eccentricity,Liebrand et al. 2016,1.38,1.73,CMUND,Liebrand et al. 2011;2016,1.38,2.37,d18O +0.64‰; d13C +0.00‰,0.88,2.27,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,130-131",183.105,17.2692,Eccentricity,Liebrand et al. 2016,1.38,1.76,CMUND,Liebrand et al. 2011;2016,1.38,2.4,d18O +0.64‰; d13C +0.00‰,0.88,2.3,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,132-133",183.125,17.2734,Eccentricity,Liebrand et al. 2016,1.08,1.64,CMUND,Liebrand et al. 2011;2016,1.08,2.28,d18O +0.64‰; d13C +0.00‰,0.58,2.18,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,134-135",183.145,17.2776,Eccentricity,Liebrand et al. 2016,1.51,1.98,CMUND,Liebrand et al. 2011;2016,1.51,2.62,d18O +0.64‰; d13C +0.00‰,1.01,2.52,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,136-137",183.165,17.2818,Eccentricity,Liebrand et al. 2016,1.19,1.67,CMUND,Liebrand et al. 2011;2016,1.19,2.31,d18O +0.64‰; d13C +0.00‰,0.69,2.21,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,138-139",183.185,17.286,Eccentricity,Liebrand et al. 2016,0.94,1.56,CMUND,Liebrand et al. 2011;2016,0.94,2.2,d18O +0.64‰; d13C +0.00‰,0.44,2.1,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,140-141",183.205,17.2902,Eccentricity,Liebrand et al. 2016,1.39,2,CMUND,Liebrand et al. 2011;2016,1.39,2.64,d18O +0.64‰; d13C +0.00‰,0.89,2.54,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,144-145",183.245,17.2985,Eccentricity,Liebrand et al. 2016,1.21,1.83,CMUND,Liebrand et al. 2011;2016,1.21,2.47,d18O +0.64‰; d13C +0.00‰,0.71,2.37,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-2W,146-147",183.265,17.3027,Eccentricity,Liebrand et al. 2016,1.28,1.66,CMUND,Liebrand et al. 2011;2016,1.28,2.3,d18O +0.64‰; d13C +0.00‰,0.78,2.2,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-3W,2-3",183.325,17.3153,Eccentricity,Liebrand et al. 2016,1.23,1.87,CMUND,Liebrand et al. 2011;2016,1.23,2.51,d18O +0.64‰; d13C +0.00‰,0.73,2.41,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-3W,4-5",183.345,17.3195,Eccentricity,Liebrand et al. 2016,1.39,1.98,CMUND,Liebrand et al. 2011;2016,1.39,2.62,d18O +0.64‰; d13C +0.00‰,0.89,2.52,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-3W,6-7",183.365,17.3237,Eccentricity,Liebrand et al. 2016,1.65,1.78,CMUND,Liebrand et al. 2011;2016,1.65,2.42,d18O +0.64‰; d13C +0.00‰,1.15,2.32,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-3W,8-9",183.385,17.3279,Eccentricity,Liebrand et al. 2016,1.59,1.97,CMUND,Liebrand et al. 2011;2016,1.59,2.61,d18O +0.64‰; d13C +0.00‰,1.09,2.51,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-3W,10-11",183.405,17.3321,Eccentricity,Liebrand et al. 2016,1.44,1.88,CMUND,Liebrand et al. 2011;2016,1.44,2.52,d18O +0.64‰; d13C +0.00‰,0.94,2.42,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-3W,12-13",183.425,17.3363,Eccentricity,Liebrand et al. 2016,1.53,1.88,CMUND,Liebrand et al. 2011;2016,1.53,2.52,d18O +0.64‰; d13C +0.00‰,1.03,2.42,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-3W,14-15",183.445,17.3405,Eccentricity,Liebrand et al. 2016,1.36,1.78,CMUND,Liebrand et al. 2011;2016,1.36,2.42,d18O +0.64‰; d13C +0.00‰,0.86,2.32,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-3W,16-17",183.465,17.3447,Eccentricity,Liebrand et al. 2016,1.47,2,CMUND,Liebrand et al. 2011;2016,1.47,2.64,d18O +0.64‰; d13C +0.00‰,0.97,2.54,d18O -0.10‰; d13C -0.50‰,,
1264,"208-1264A-20H-3W,18-19",183.485,17.3489,Eccentricity,Liebrand et al. 2016,1.36,2.14,CMUND,Liebrand et al. 2011;2016,1.36,2.78,d18O +0.64‰; d13C +0.00‰,0.86,2.68,d18O -0.10‰; d13C -0.50‰,,
