AGE_ka,GR_gAPI
440.0311104,5.807264627
440.8088698,5.851589126
441.5866292,5.958988129
442.3643885,6.087509228
443.1421479,6.256815488
443.9199073,6.205748643
444.6976667,5.742366084
445.4754261,5.230174307
446.2531855,5.78508236
447.0309449,6.93218878
447.8087043,8.039462898
448.5864637,8.534984273
449.3642231,7.683373974
450.1419825,7.161971724
450.9197419,7.501881803
451.6975012,6.360511241
452.4752606,6.095319094
453.25302,5.239270906
454.0307794,4.438749885
454.8085388,4.678313512
455.5862982,5.458839572
456.3640576,5.620742879
457.141817,6.064345992
457.9195764,5.639554105
458.6973358,5.318116276
459.4750952,6.050825724
460.2528545,8.16825258
461.0306139,7.082428556
461.8083733,7.020574866
462.5861327,7.067419323
464.1416515,6.511990462
465.6971703,6.066233921
467.2526891,6.272047021
468.8082078,6.237253467
469.5859672,6.022877961
470.3637266,6.83276074
471.141486,6.919758667
471.9192454,7.980538598
472.6970048,10.03358691
473.4747642,8.489808278
474.2525236,6.933405102
475.030283,5.91588621
475.8080424,6.10713789
476.5858018,6.145174882
477.3635611,6.214066155
478.1413205,6.21302464
478.9190799,6.925477276
479.6968393,7.791518759
480.4745987,6.897941396
481.2523581,6.997714772
482.0301175,6.852477462
482.8078769,6.624549976
483.5856363,6.134343898
484.3633957,5.765822816
485.1411551,7.555152979
485.9189144,7.953710071
486.6966738,6.862693501
487.4744332,6.870196273
488.2521926,6.720495701
489.029952,6.647249677
489.8077114,6.72025711
490.5854708,6.020313425
491.3632302,5.538712974
492.1409896,5.053124207
492.918749,4.924872449
493.6965084,5.226999593
494.4742677,5.637550375
495.2520271,6.223413236
496.0297865,6.28326531
496.8075459,6.104465562
497.5853053,6.422414748
498.3630647,6.753103682
499.1408241,7.23278785
499.9185835,7.484783835
500.6963429,7.915144325
501.4741023,8.271174719
502.2518617,8.322261362
503.029621,7.662453735
503.8073804,6.53587048
504.5851398,5.85199648
505.3628992,5.703950517
506.1406586,7.001423252
506.918418,7.395301047
507.6961774,7.650257735
508.4739368,7.429862478
509.2516962,7.272949252
510.0294556,6.785150564
510.807215,6.022091328
511.5849744,5.271570362
512.3627337,6.256682803
513.1404931,7.079902682
513.9182525,7.211864339
515.4737713,6.26441079
517.0292901,5.975447226
518.5848089,6.265089283
520.1403277,5.530056171
520.918087,5.747373005
521.6958464,6.586532638
522.4736058,8.099674333
523.2513652,9.509513761
524.0291246,9.605276961
524.806884,10.75748725
525.5846434,12.54398021
526.3624028,11.16494283
527.1401622,11.36005181
527.9179216,11.12715089
528.695681,10.52888992
529.4734403,10.44907953
530.2511997,9.968692223
531.0289591,9.162879543
531.8067185,10.01802231
532.5844779,9.093747142
533.3622373,8.310752071
534.1399967,9.192890475
534.9177561,11.10778619
535.6955155,11.68191953
536.4732749,11.99020451
537.2510343,12.46463215
538.0287936,12.67476559
538.806553,12.78833171
539.5843124,12.29524391
540.3620718,11.45973598
541.1398312,9.344689617
541.9175906,8.901973667
542.69535,8.268141252
543.4731094,7.446787759
544.2508688,7.683476328
545.0286282,8.859980528
545.8063876,9.369598677
546.5841469,9.418630714
547.3619063,9.736716457
548.1396657,10.34210911
548.9174251,12.74063152
549.6951845,13.84429283
550.4729439,12.70075619
551.2507033,12.66976827
552.0284627,10.96264795
552.8062221,9.192855559
553.5839815,10.05003382
554.3617409,10.17574994
555.1395002,10.99677441
555.9172596,12.17898126
556.695019,12.84079543
557.4727784,13.08019832
558.2505378,13.87771549
559.0282972,13.79942772
559.8060566,12.04522026
560.583816,10.50532131
561.3615754,9.925144307
562.1393348,10.43892062
562.9170942,11.32850832
563.6948535,11.40854299
564.4726129,9.933525076
565.2503723,9.088513585
566.0281317,8.310764866
566.8058911,7.908116588
567.5836505,10.77909829
568.3614099,12.89767102
569.1391693,12.58104727
569.9169287,11.21981756
