AGE(ka),GR(gAPI)
440.8088698,9.113580297
442.3643885,8.818469063
443.9199073,8.59685573
445.4754261,8.117329808
447.0309449,7.983626252
448.5864637,8.900884856
450.1419825,9.431367008
451.6975012,9.265186079
453.25302,10.2519786
454.8085388,10.62222207
456.3640576,10.92041728
457.9195764,9.148669577
459.4750952,7.937581189
461.0306139,7.961890787
462.5861327,7.433020835
464.1416515,7.431172126
465.6971703,7.358085858
467.2526891,6.778086068
468.8082078,7.549735018
470.3637266,8.853639496
471.9192454,9.218422189
473.4747642,8.805370995
475.030283,10.13940136
476.5858018,11.77015136
478.1413205,12.6567348
479.6968393,12.15686709
481.2523581,11.58403619
482.8078769,11.86727276
484.3633957,11.08081591
485.9189144,9.656510549
487.4744332,9.052087942
489.029952,9.572867354
490.5854708,9.872334945
492.1409896,9.382559016
493.6965084,9.182157283
495.2520271,9.90025652
496.8075459,10.30808031
498.3630647,10.29306173
499.9185835,9.747094352
501.4741023,9.792173913
503.029621,9.332859425
504.5851398,9.368897916
506.1406586,11.15920163
507.6961774,12.28015591
509.2516962,13.89196181
510.807215,15.1477253
512.3627337,15.11979071
513.9182525,15.13319339
515.4737713,14.69758039
517.0292901,13.33218071
518.5848089,12.1727052
520.1403277,11.92347895
521.6958464,12.75431913
523.2513652,13.40388509
524.806884,13.48776373
526.3624028,12.78519724
527.9179216,12.28186638
529.4734403,12.9918921
531.0289591,14.17980378
532.5844779,15.53135706
534.1399967,16.07335244
535.6955155,15.98291772
537.2510343,15.38917367
538.806553,15.62830386
540.3620718,15.24512394
541.9175906,14.33576189
543.4731094,14.36000903
545.0286282,15.27826362
546.5841469,15.11243155
548.1396657,14.12914598
549.6951845,13.31382244
551.2507033,13.00954157
552.8062221,13.10931008
554.3617409,13.59550874
555.9172596,15.14201291
557.4727784,15.69249932
559.0282972,14.21424197
560.583816,13.16306782
562.1393348,13.57104
563.6948535,13.03751921
565.2503723,13.91677144
566.8058911,15.47460598
568.3614099,15.88206268
569.9169287,14.79866955
571.4724475,13.39813388
573.0279662,12.29347906
574.583485,11.95282157
576.1390038,12.8521026
577.6945226,13.55521567
579.2500414,13.66602559
580.8055602,13.00568483
582.3610789,12.8963111
583.9165977,13.51528228
585.4721165,13.79889068
587.0276353,13.31184622
588.5831541,13.04303635
590.1386728,13.79627333
591.6941916,13.76130614
593.2497104,13.57499333
594.8052292,14.06626155
596.360748,13.99076039
597.9162668,13.6510827
599.4717855,14.05162388
601.0273043,14.35252189
602.5828231,14.09324021
604.1383419,13.49409257
605.6938607,12.69011843
607.2493794,12.88114982
608.8048982,13.79034144
610.360417,14.28939756
611.9159358,13.94302785
613.4714546,12.88957732
615.0269734,12.49246795
616.5824921,12.92471997
618.1380109,13.14263748
619.6935297,12.52875339
621.2490485,11.86024887
622.8045673,12.40132572
624.360086,13.38303008
625.9156048,13.1030295
627.4711236,12.64872373
629.0266424,12.33033528
630.5821612,13.29587184
632.13768,14.12489318
633.6931987,14.21546535
635.2487175,15.37834375
636.8042363,15.89632669
638.3597551,16.65410811
639.9152739,17.37625412
641.4707927,15.78066333
643.0263114,13.99194575
644.5818302,13.25232163
646.137349,14.00039168
647.6928678,14.93035756
649.2483866,15.3261842
650.8039053,15.01791829
652.3594241,13.9414448
653.9149429,12.90697202
655.4704617,13.20269231
657.0259805,14.58736055
658.5814993,15.61737402
660.137018,15.87926585
661.6925368,14.48476843
663.2480556,13.37856304
664.8035744,13.94997108
666.3590932,13.71960488
667.9146119,14.28646706
669.4701307,15.52999567
671.0256495,15.08330276
672.5811683,13.53924336
674.1366871,12.73496562
675.6922059,12.90649929
677.2477246,12.73089105
678.8032434,12.3911847
680.3587622,14.89917756
681.914281,15.97308438
683.4697998,15.79736444
685.0253186,15.34022283
686.5808373,15.13760171
688.1363561,15.74271745
689.6918749,15.81197417
691.2473937,14.72916496
692.8029125,13.4914353
694.3584312,14.33702685
695.91395,14.74928415
697.4694688,14.49802268
699.0249876,14.65386441
700.5805064,14.01118714
702.1360252,12.39705596
703.6915439,11.8740148
705.2470627,13.25483016
706.8025815,13.80667304
708.3581003,13.19572567
709.9136191,12.22627856
711.4691378,12.22667604
713.0246566,13.31492748
714.5801754,14.57149819
716.1356942,15.2301289
717.691213,15.25149102
719.2467318,15.72961722
